hom_2_9 preservation%1:04:00:: economy%1:04:00::
hom_847_26 dribble%2:35:10:: drop%2:30:09::
hom_848_14 plate%1:13:01:: plate%1:06:00::
hom_851_8 brush%2:38:00:: sweep%2:35:01::
hom_852_12 touch%1:11:00:: touch%1:09:02::
hom_854_10 scat%2:38:00:: run%2:38:05::
hom_855_5 change%1:04:00:: change%1:11:00::
hom_857_15 shot%1:06:03:: shooting%1:04:00::
hom_858_6 digital%3:01:00:: digital%3:01:01::
hom_860_8 angelic%5:00:00:lovable:00 sweet%1:09:00::
hom_863_5 fallout%1:27:00:: side_effect%1:19:00::
hom_864_25 solution%1:09:00:: solution%1:10:00::
hom_866_26 foot%2:40:00:: nibble%2:34:01::
hom_868_16 capture%2:37:00:: entrance%2:29:00::
hom_870_15 clog%2:30:00:: clog%2:35:00::
hom_871_10 bundle%1:06:00:: package%1:14:00::
hom_872_9 racetrack%1:06:00:: track%1:04:00::
hom_873_10 spend%2:40:01:: spend%2:42:00::
hom_876_9 plug%2:35:01:: plug%2:30:03::
hom_877_9 uproot%2:36:00:: uproot%2:35:00::
hom_878_10 chemistry%1:09:00:: chemistry%1:27:00::
hom_881_11 track%1:06:01:: path%1:17:00::
hom_886_12 work%2:41:01:: work%2:41:00::
hom_890_5 tire%2:29:00:: bore%2:37:00::
hom_891_9 clamber%2:38:00:: scramble%2:38:00::
hom_897_15 stick%2:35:10:: stick%2:35:04::
hom_898_6 shuttlecock%1:06:00:: bird%1:13:00::
hom_901_10 glow%2:39:00:: glow%2:39:01::
hom_903_7 booming%5:00:00:successful:00 booming%5:00:00:full:01
hom_906_4 plant%2:31:00:: plant%2:35:00::
hom_907_13 ear%1:20:00:: auricle%1:08:02::
hom_908_19 shoot%1:04:00:: shoot%2:35:03::
hom_910_8 drone%2:32:00:: drone%2:39:00::
hom_911_15 garnishee%2:40:00:: trim%2:36:00::
hom_912_9 express%1:06:00:: express%1:10:00::
hom_914_7 rare%5:00:00:extraordinary:00 rare%5:00:00:raw:00
hom_915_16 observant%5:00:00:attentive:00 law-abiding%5:00:00:lawful:00
hom_916_8 ground%2:35:00:: ground%2:38:00::
hom_917_15 open_fire%2:33:00:: displace%2:41:04::
hom_918_17 dry%3:00:06:: dry%3:00:01::
hom_920_11 explosion%1:11:00:: effusion%1:10:00::
hom_923_6 issue%1:09:01:: issue%1:10:00::
hom_924_10 cut%1:04:01:: cut%1:26:00::
hom_925_10 dock%2:38:00:: dock%2:35:00::
hom_929_13 amiss%5:00:00:malfunctioning:00 haywire%1:06:00::
hom_934_10 liquor%1:13:00:: emotional_state%1:26:00::
hom_937_22 building_complex%1:06:00:: complex%1:09:00::
hom_938_8 cleave%2:35:00:: separate%2:38:00::
hom_939_6 space%1:03:00:: outer_space%1:15:00::
hom_940_22 baseball%1:04:00:: ball%1:06:01::
hom_941_28 change%1:21:03:: change%1:06:00::
hom_942_10 stroke%1:26:00:: stroke%1:04:04::
hom_943_9 flick%2:39:10:: leaf%2:29:00::
hom_945_14 stack%2:35:01:: stack%2:35:00::
hom_946_12 drive%2:38:02:: drive%2:41:13::
hom_949_17 pink%2:39:03:: knock%1:11:01::
hom_954_13 agate_line%1:23:00:: line%1:15:01::
hom_956_8 leap%1:07:00:: leap%1:04:00::
hom_958_15 toast%1:13:00:: pledge%1:13:00::
hom_959_15 blunt%5:00:00:direct:02 frank%5:00:00:obvious:00
hom_960_13 spin%1:04:03:: spin%1:04:01::
hom_962_16 operate%2:35:00:: function%2:35:00::
hom_964_13 lead%2:38:01:: behave%2:41:01::
hom_968_1 jump%2:38:01:: jump%2:38:11::
hom_969_14 cook%2:36:01:: cook%2:36:00::
hom_970_8 run_down%2:40:00:: exhaust%2:29:00::
hom_971_6 sign%1:10:01:: sign%1:10:05::
hom_972_8 trail%2:38:01:: trail%2:35:03::
hom_973_7 beady%5:00:00:bright:00 beady%5:00:00:adorned:00
hom_974_8 downhill%4:02:00:: downhill%1:11:00::
hom_976_13 pull%2:35:00:: pull%2:38:13::
hom_977_11 stand%2:31:01:: stand%2:42:00::
hom_979_18 icky%5:00:00:bad:00 lousy%5:00:00:dirty:01
hom_981_13 sandbag%2:35:00:: stun%2:30:00::
hom_984_21 lock%2:35:04:: lock%2:35:00::
hom_985_11 sign%2:32:04:: sign%2:32:01::
hom_987_10 calf%1:05:00:: calf%1:05:01::
hom_990_11 plant%2:35:00:: plant%2:35:06::
hom_992_21 poacher%1:18:00:: poacher%1:06:00::
hom_993_19 reservation%1:09:01:: reservation%1:10:01::
hom_994_11 stave%2:40:00:: stave%1:06:00::
hom_995_17 calf%1:05:00:: calf%1:27:00::
hom_996_16 throw%2:35:02:: confuse%2:31:03::
hom_998_19 kid%2:32:00:: pull_the_leg_of%2:32:00::
hom_1002_11 point%1:10:02:: point%1:06:00::
hom_1004_12 stalk%2:38:03:: haunt%2:38:00::
hom_1006_11 staff%1:14:00:: faculty%1:09:00::
hom_1007_15 search%2:39:00:: expect%2:31:01::
hom_1008_8 knockout%1:04:00:: smasher%1:18:00::
hom_1010_9 reflective%3:00:00:: brooding%5:00:00:thoughtful:00
hom_1013_5 tap%2:38:04:: tap%2:40:04::
hom_1014_17 drift%1:17:00:: drift%1:06:00::
hom_1015_13 strain%1:26:00:: stress%1:26:02::
hom_1016_18 prison_term%1:28:00:: conviction%1:04:00::
hom_1017_15 picket%1:18:00:: picket%1:06:00::
hom_1018_7 turn%2:42:13:: plow%2:36:00::
hom_1020_7 absorb%2:35:10:: absorb%2:43:00::
hom_1023_3 pit%1:06:04:: pit%1:06:00::
hom_1024_12 connection%1:06:00:: connection%1:18:01::
hom_1025_8 try%2:30:00:: render%2:35:00::
hom_1028_20 shuffle%1:04:00:: make%2:36:15::
hom_1030_8 state%1:14:01:: department_of_state%1:14:00::
hom_1031_11 circulation%1:10:00:: circulation%1:23:00::
hom_1032_11 stern%1:06:00:: austere%5:00:00:nonindulgent:00
hom_1034_16 night%1:28:00:: dark%3:00:02::
hom_1035_11 buzz%1:04:00:: buzz%1:11:00::
hom_1036_13 project%2:36:08:: project%2:39:01::
hom_1037_7 bull%1:18:00:: collar%2:35:00::
hom_1039_9 open_fire%2:33:00:: burn%2:30:02::
hom_1040_8 develop%2:30:01:: develop%2:30:12::
hom_1042_7 enlightening%3:00:00:: light%2:30:00::
hom_1043_10 counter%1:06:01:: counter%1:06:03::
hom_1044_12 hit%2:35:01:: strike%2:32:00::
hom_1045_12 net%1:06:02:: net%2:35:00::
hom_1049_7 caption%1:10:00:: legend%1:10:01::
hom_1050_8 love%1:23:00:: love%1:12:01::
hom_1052_18 crop%1:06:00:: crop%1:20:00::
hom_1053_2 come%2:30:01:: occur%2:31:00::
hom_1056_43 look%2:39:01:: front%2:42:00::
hom_1057_9 pine%1:20:00:: pine%1:20:02::
hom_1058_9 delivery%1:04:02:: delivery%1:04:04::
hom_1060_15 conviction%1:04:00:: sentence%1:10:00::
hom_1061_13 spectacle%1:04:00:: spectacles%1:06:00::
hom_1062_9 withdrawal%1:04:00:: withdrawal%1:04:05::
hom_1063_13 take%2:35:00:: assume%2:30:00::
hom_1065_14 play%2:36:12:: play%2:33:03::
hom_1066_15 breakage%1:04:00:: break%2:32:05::
hom_1067_16 serve%2:33:00:: serve%2:33:01::
hom_1071_18 standard%1:06:01:: criterion%1:09:00::
hom_1072_17 case-hardened%5:00:00:hard:02 tempered%3:00:02::
hom_1073_17 volume%1:07:02:: volume%1:23:01::
hom_1074_12 hook%2:35:01:: crochet%2:36:00::
hom_1078_8 monumental%3:01:00:: monumental%5:00:00:significant:00
hom_1079_13 grain%1:20:00:: grain%1:13:00::
hom_1082_12 core%1:06:02:: kernel%1:09:00::
hom_1084_12 space%1:10:00:: space%1:15:00::
hom_1085_10 fly%2:38:05:: fly%2:35:01::
hom_1086_7 put%2:35:00:: put%2:39:13::
hom_1090_18 fury%1:12:00:: rage%1:26:00::
hom_1091_1 honor%1:07:00:: honor%1:26:00::
hom_1092_12 heart%1:08:00:: heart%1:06:00::
hom_1093_12 circulation%1:23:00:: circulation%1:19:00::
hom_1100_13 hang-up%1:09:01:: snag%1:20:00::
hom_1101_21 bloomer%1:20:00:: bloomers%1:06:00::
hom_1102_13 mole%1:07:00:: mole%1:05:00::
hom_1103_8 walk%2:38:05:: walk%2:38:04::
hom_1107_22 relief%1:06:00:: relief%1:26:00::
hom_1109_4 rub%2:39:00:: itch%2:39:00::
hom_1111_3 miss%2:37:00:: miss%2:39:00::
hom_1114_5 foundation%1:09:01:: foundation%1:14:00::
hom_1116_16 cavity%1:08:00:: cavity%1:22:00::
hom_1117_7 dead%5:00:00:insensitive:02 dead%5:00:00:inactive:03
hom_1119_44 ripe%3:00:00:: mature%2:30:00::
hom_1122_14 beehive%1:06:00:: urtication%1:26:00::
hom_1123_18 hard%5:00:00:bad:00 difficult%3:00:00::
hom_1124_10 balance%1:21:01:: balance%1:21:00::
hom_1126_6 calf%1:05:00:: calf%1:27:00::
hom_1130_14 drill%1:06:00:: exercise%1:04:02::
hom_1132_12 roots%1:26:00:: beginning%1:15:00::
hom_1133_10 current%1:19:01:: current%3:00:00::
hom_1135_12 pool%1:04:00:: pool%1:15:00::
hom_1136_16 concentration%1:07:02:: concentration%1:04:01::
hom_1139_14 develop%2:36:01:: develop%2:30:01::
hom_1140_25 fault%1:17:00:: mistake%1:04:00::
hom_1143_2 charge%2:32:00:: charge%2:40:02::
hom_1144_26 table%1:14:01:: table%1:06:01::
hom_1147_10 draw%1:04:00:: draw%1:04:01::
hom_1148_18 float%2:38:01:: float%2:38:02::
hom_1151_20 aggregate%1:27:00:: aggregate%1:14:00::
hom_1153_10 ring%1:06:03:: ring%1:11:00::
hom_1154_5 device%1:06:00:: device%1:06:02::
hom_1155_10 evolve%2:30:00:: develop%2:30:06::
hom_1156_8 reception%1:10:00:: reception%1:14:00::
hom_1158_9 lay%2:35:02:: lay%2:35:00::
hom_1160_16 elimination%1:22:00:: elimination%1:04:02::
hom_1161_13 reservation%1:09:01:: booking%1:04:00::
hom_1162_8 log%2:35:00:: lumber%1:27:00::
hom_1164_24 pan%1:06:01:: pan%1:06:00::
hom_1165_9 downhill%4:02:00:: downhill%4:02:01::
hom_1166_4 nursing%1:14:00:: nursing%1:04:00::
hom_1168_14 kid%2:32:00:: pull_the_leg_of%2:32:00::
hom_1171_21 clobber%2:35:01:: dinge%2:30:01::
hom_1172_3 drivel%2:29:00:: salivate%2:37:00::
hom_1173_8 form%1:14:02:: strain%1:26:00::
hom_1174_9 thirst%1:26:00:: hunger%1:07:00::
hom_1175_13 tune%2:30:00:: tune%2:30:01::
hom_1179_7 scale%1:05:00:: plate%1:06:01::
hom_1181_19 female_chest%1:08:00:: bust%1:04:00::
hom_1182_18 fit%2:30:01:: fit%2:42:02::
hom_1184_18 luggage_compartment%1:06:00:: boot%1:06:03::
hom_1185_8 recover%2:40:00:: recover%2:40:01::
hom_1186_14 hit%1:04:03:: hit%1:04:00::
hom_1190_11 rich%3:00:02:: full-bodied%5:00:00:tasty:00
hom_1191_15 bar%1:06:07:: barroom%1:06:00::
hom_1192_9 capture%2:37:00:: entrance%2:29:00::
hom_1194_16 straight%1:14:00:: straightaway%1:06:00::
hom_1195_13 earth%1:17:00:: worldly_concern%1:09:00::
hom_1198_10 handle%1:06:00:: hold%1:07:00::
hom_1200_7 roll%2:30:06:: roll%2:30:10::
hom_1201_6 wave%1:11:01:: wave%1:04:02::
hom_1209_18 target%1:15:00:: prey%1:18:00::
hom_1211_5 loaded%3:00:00:: laden%5:00:00:full:00
hom_1213_18 swallow%2:34:00:: swallow%2:31:00::
hom_1214_9 peck%2:35:01:: foot%2:40:00::
hom_1215_14 patch%1:06:00:: patch%1:10:00::
hom_1217_9 postpone%2:42:00:: shelve%2:35:10::
hom_1224_17 spin%1:04:00:: spin%1:04:03::
hom_1225_21 pot%1:06:03:: grass%1:20:00::
hom_1227_6 lead%2:38:01:: assume%2:30:00::
hom_1229_12 still%4:02:02:: however%4:02:00::
hom_1232_16 drive%1:04:03:: drive%2:38:02::
hom_1234_12 scat%2:38:00:: run%2:38:05::
hom_1236_14 fathom%1:23:02:: fathom%1:23:01::
hom_1238_5 perspiration%1:08:00:: sweat%1:19:00::
hom_1239_12 total%2:32:00:: sum%1:06:00::
hom_1241_4 bypass%1:08:00:: bypass%2:32:00::
hom_1245_4 stay%2:30:00:: stay%2:42:02::
hom_1246_7 vegetate%2:30:01:: vegetate%2:30:00::
hom_1247_8 polished%5:00:00:sophisticated:00 refined%3:00:02::
hom_1248_13 manila%1:27:00:: manila%1:15:00::
hom_1249_8 cast%1:14:00:: casting%1:04:02::
hom_1251_18 turn%2:42:13:: plow%2:36:00::
hom_1257_11 engage%2:35:00:: engaging%5:00:00:attractive:01
hom_1260_27 cinch%2:35:00:: cinch%2:31:01::
hom_1262_11 strain%1:26:00:: strain%1:26:01::
hom_1267_16 guidance%1:10:00:: direction%1:09:00::
hom_1268_10 milk%2:30:01:: milk%2:30:00::
hom_1269_11 hell%1:09:02:: underworld%1:14:00::
hom_1270_9 envelop%2:35:00:: wind%2:35:06::
hom_1271_11 classified_ad%1:10:00:: classified%3:00:02::
hom_1274_12 make%2:42:00:: make%2:32:09::
hom_1275_20 channel%1:06:02:: distribution_channel%1:04:00::
hom_1276_7 group%1:27:00:: group%1:03:00::
hom_1277_6 take%2:40:01:: accept%2:42:00::
hom_1278_16 cavity%1:08:00:: cavity%1:22:00::
hom_1279_18 heated%5:00:00:hot:01 heat%2:30:01::
hom_1281_7 draw%2:36:02:: draw%2:36:00::
hom_1282_9 unstrung%5:00:00:discomposed:00 unstring%2:35:00::
hom_1283_15 cold%3:00:01:: cold%1:09:00::
hom_1284_6 jerk%1:18:00:: tug%1:04:00::
hom_1287_16 combination%1:04:00:: combination%1:14:02::
hom_1291_6 rave%2:41:00:: rave%2:32:00::
hom_1292_15 die%2:30:00:: survive%2:42:01::
hom_1294_13 heated%5:00:00:hot:02 heated%5:00:00:hot:01
hom_1295_8 burst%2:30:01:: raid%2:41:00::
hom_1296_12 highlight%1:07:00:: highlight%1:24:00::
hom_1298_3 boil%2:30:00:: boil%2:30:01::
hom_1300_10 conviction%1:04:00:: sentence%1:10:00::
hom_1301_13 impact%1:19:00:: impact%1:11:00::
hom_1302_14 stick%2:35:10:: stay%2:38:00::
hom_1304_11 committee%1:14:00:: deputation%1:14:00::
hom_1305_8 interest%1:21:00:: interest%1:21:03::
hom_1308_8 change%1:06:01:: variety%1:07:01::
hom_1309_25 fly%1:06:00:: fly%1:06:02::
hom_1310_8 skeleton%1:06:00:: skeletal_system%1:08:00::
hom_1311_10 rock%2:38:00:: rock%2:38:06::
hom_1312_6 flop%1:18:00:: flop%1:04:00::
hom_1314_14 break%2:42:03:: break%2:42:04::
hom_1315_7 credit%1:21:02:: credit%1:04:01::
hom_1317_15 develop%2:36:01:: develop%2:30:01::
hom_1320_7 file%2:35:00:: charge%2:32:00::
hom_1323_9 opinion%1:10:00:: judgment%1:04:00::
hom_1326_16 catgut%1:06:00:: intestine%1:08:00::
hom_1327_18 lead%1:15:00:: leash%1:06:00::
hom_1329_8 rescue%1:04:00:: preservation%1:04:00::
hom_1331_17 ring%1:06:03:: ring%1:06:00::
hom_1332_18 connection%1:24:00:: connection%1:18:01::
hom_1334_10 impress%2:31:00:: impress%2:30:08::
hom_1336_9 react%2:31:00:: react%2:30:00::
hom_1339_17 chump%1:18:00:: mark%1:07:02::
hom_1340_7 draw%2:36:02:: draw%2:36:00::
hom_1342_12 resort%1:15:00:: haunt%1:15:00::
hom_1343_12 cram%2:30:00:: cram%2:31:00::
hom_1344_10 carry%2:32:02:: express%2:32:01::
hom_1345_16 connection%1:18:01:: connection%1:26:00::
hom_1348_13 lie%2:32:00:: lied%1:10:00::
hom_1349_12 sharpen%2:30:08:: charge%2:33:01::
hom_1351_10 undertaking%1:04:00:: undertaking%1:04:01::
hom_1352_7 boring%1:04:00:: drilling%1:04:01::
hom_1355_4 hot%3:00:01:: hot%5:00:00:unpleasant:00
hom_1356_15 schoolchild%1:18:00:: student%1:18:00::
hom_1357_9 ax%1:06:00:: axis%1:06:00::
hom_1358_9 run%2:35:04:: run%2:38:00::
hom_1359_26 serve%2:33:00:: serve%2:34:00::
hom_1363_10 dribble%1:04:00:: drivel%2:29:00::
hom_1366_12 stimulate%2:39:00:: stimulate%2:37:00::
hom_1367_16 world_wide_web%1:06:00:: web%1:05:02::
hom_1368_13 comfortable%3:00:01:: comfortable%5:00:00:rich:00
hom_1369_2 nail%2:35:00:: smash%2:35:00::
hom_1372_10 judge%2:41:09:: try_on%2:29:00::
hom_1373_9 rib%1:13:00:: rib%1:06:00::
hom_1374_14 dive%1:04:01:: honkytonk%1:06:00::
hom_1377_12 drift%2:42:03:: roll%2:38:09::
hom_1379_8 prevent%2:41:00:: keep%2:40:13::
hom_1381_14 shot%1:06:03:: shot%1:04:08::
hom_1382_12 lie%2:32:00:: lie%2:42:02::
hom_1383_15 rattle%2:38:00:: rattle%2:39:00::
hom_1384_12 brush%1:04:02:: brush%1:04:03::
hom_1387_20 handshake%1:10:00:: milkshake%1:13:00::
hom_1389_8 astronomic%3:01:00:: astronomic%5:00:00:large:00
hom_1391_7 culture%2:30:00:: civilized%5:00:00:refined:01
hom_1394_8 break%2:30:12:: break%2:32:07::
hom_1395_12 scale%1:06:02:: scale%1:10:00::
hom_1396_10 stress%1:26:02:: song%1:04:00::
hom_1397_6 strike%2:32:00:: contact%1:11:00::
hom_1400_19 hit%2:35:01:: hit%2:38:02::
hom_1401_13 comfort%2:37:01:: console%1:06:01::
hom_1403_10 digit%1:23:00:: figure%1:25:00::
hom_1404_15 flap%1:06:00:: flap%1:11:01::
hom_1407_4 run%2:42:00:: scat%2:38:00::
hom_1408_13 conviction%1:04:00:: prison_term%1:28:00::
hom_1410_9 taste%1:04:00:: taste%1:09:02::
hom_1412_19 gravitate%2:42:01:: gravitate%2:38:00::
hom_1414_16 breed%2:29:00:: multiply%2:30:00::
hom_1416_20 fall%1:28:00:: twilight%1:28:00::
hom_1417_10 interest%1:21:00:: interest%1:21:03::
hom_1419_10 brush%1:04:03:: brush%1:04:02::
hom_1421_13 state%1:14:01:: state%1:15:01::
hom_1423_15 guide%1:18:02:: scout%1:18:00::
hom_1424_20 press%2:35:06:: advertise%2:32:00::
hom_1426_8 cringle%1:06:00:: closed_circuit%1:06:00::
hom_1427_3 radiate%2:39:00:: radiate%2:30:00::
hom_1428_8 punch%2:35:04:: punch%2:35:00::
hom_1429_26 single%1:04:00:: individual%5:00:00:unshared:00
hom_1431_10 fall%2:30:15:: precipitate%2:43:00::
hom_1432_10 attraction%1:09:00:: drawing_card%1:18:00::
hom_1433_10 quantify%2:30:00:: measure%2:31:00::
hom_1435_17 advance%2:40:00:: advance%2:32:00::
hom_1436_9 shuffle%1:04:00:: shamble%1:04:00::
hom_1437_15 drive%2:42:00:: drive%2:38:00::
hom_1439_11 floor%1:06:01:: horizontal_surface%1:06:00::
hom_1441_9 hiding%1:26:00:: concealment%1:04:00::
hom_1442_14 harmonica%1:06:00:: harp%1:06:00::
hom_1449_20 deal%2:40:02:: deal%2:41:04::
hom_1450_9 fire%2:33:02:: acquit%2:32:00::
hom_1452_15 depth%1:07:01:: depth%1:07:02::
hom_1453_3 overboard%4:02:00:: overboard%4:02:01::
hom_1458_1 stamp%2:35:02:: postage%1:10:00::
hom_1462_18 pocket%1:06:00:: pouch%1:08:00::
hom_1463_17 concrete%1:27:00:: concrete%3:00:00::
hom_1465_17 brumous%5:00:00:cloudy:00 fogged%5:00:00:opaque:00
hom_1466_23 cast%1:14:00:: cast%1:06:02::
hom_1469_4 go_steady%2:41:00:: date%2:41:00::
hom_1470_5 tip%2:40:00:: tip%2:30:00::
hom_1471_11 fold%2:30:10:: fold%2:35:00::
hom_1473_13 will%1:10:00:: bequeath%2:40:00::
hom_1477_15 tack%1:04:00:: tack%1:04:01::
hom_1479_22 plot%1:10:00:: plot%1:09:00::
hom_1483_12 mope%2:38:00:: pout%2:29:00::
hom_1485_15 clock_time%1:28:00:: time%1:03:00::
hom_1486_5 candid%5:00:00:ingenuous:00 candid%5:00:00:unstudied:00
hom_1488_18 leash%1:06:00:: lead%1:04:00::
hom_1492_14 scat%2:38:00:: run%2:38:05::
hom_1495_23 originate%2:42:00:: break%2:30:01::
hom_1496_16 shape%1:03:00:: form%1:09:00::
hom_1497_12 return%1:04:01:: tax_return%1:10:00::
hom_1499_9 still%4:02:02:: however%4:02:00::
hom_1501_12 animated%5:00:00:moving:03 animize%2:30:00::
hom_1502_7 window%1:06:01:: window%1:28:00::
hom_1503_4 draw%2:36:02:: draw%2:36:00::
hom_1504_10 function%1:04:00:: affair%1:11:00::
hom_1505_22 party%1:14:01:: party%1:11:00::
hom_1507_15 hitch%1:06:01:: arrest%1:26:00::
hom_1508_15 put%2:35:00:: put%2:34:00::
hom_1509_7 envelop%2:35:00:: wind%2:35:06::
hom_1510_7 roughly%4:02:02:: grating%5:00:00:cacophonous:00
hom_1513_6 atmosphere%1:26:00:: atmosphere%1:17:00::
hom_1514_5 deep%3:00:02:: deep%5:00:00:profound:00
hom_1516_14 move%2:38:01:: move%2:33:00::
hom_1517_14 check%1:07:00:: chip%1:04:00::
hom_1518_18 satiate%2:34:00:: filling%1:06:01::
hom_1519_10 touch%1:11:00:: contact%1:10:01::
hom_1520_7 breeze%1:19:00:: cinch%1:04:01::
hom_1521_9 suspend%2:30:01:: freeze%2:30:01::
hom_1523_14 key%1:09:00:: keystone%1:06:00::
hom_1527_18 collect%2:40:03:: collect%2:40:01::
hom_1532_14 rich_people%1:14:00:: rich%5:00:00:unwholesome:00
hom_1534_17 pump%2:38:01:: pump%2:38:00::
hom_1535_10 flawlessly%4:02:00:: cleanly%4:02:02::
hom_1537_9 odds%1:24:00:: odds%1:07:00::
hom_1538_6 umbrella%1:04:01:: umbrella%1:04:00::
hom_1539_10 unplug%2:35:00:: disconnect%2:35:00::
hom_1540_15 revealing%5:00:00:informative:00 unwrap%2:32:00::
hom_1541_12 partial_derivative%1:09:00:: fond%5:00:00:inclined:02
hom_1542_9 turn%1:04:02:: twist%1:04:03::
hom_1543_14 execution%1:22:00:: performance%1:04:00::
hom_1545_17 nibble%2:34:01:: peck%2:35:01::
hom_1547_10 run_out%2:42:00:: exhale%2:29:00::
hom_1549_14 strike%1:04:01:: strike%1:04:05::
hom_1553_11 incision%1:25:00:: chicken_feed%1:13:00::
hom_1555_11 break%2:30:12:: break_dance%2:38:00::
hom_1556_7 defeated%5:00:00:unsuccessful:00 foil%2:35:00::
hom_1557_6 storm%1:19:00:: storm%1:26:00::
hom_1558_9 stroke%1:26:00:: stroke%1:10:01::
hom_1559_10 count%2:32:00:: count%2:42:04::
hom_1560_7 high%1:26:01:: high%3:00:03::
hom_1561_16 column%1:25:02:: column%1:06:02::
hom_1563_12 temple%1:06:00:: synagogue%1:06:00::
hom_1564_14 floor%1:14:00:: floor%1:06:03::
hom_1565_9 unstrung%5:00:00:discomposed:00 unstring%2:35:00::
hom_1567_13 footstep%1:23:00:: pace%1:04:00::
hom_1569_9 fork%1:06:00:: fork%1:06:02::
hom_1570_11 recover%2:30:00:: recover%2:40:00::
hom_1573_6 dry%3:00:06:: dry%3:00:01::
hom_1574_15 grave%1:06:00:: grave%1:28:00::
hom_1578_10 dark%3:00:02:: dark%3:00:01::
hom_1579_16 make%2:30:00:: catch%2:39:12::
hom_1585_13 reason%1:16:00:: cause%1:10:00::
hom_1588_16 cut%1:26:00:: cut%1:04:01::
hom_1589_13 unravel%2:35:00:: ravel%2:35:01::
hom_1590_20 charge%1:21:02:: charge%1:10:00::
hom_1591_7 faint%5:00:00:perceptible:00 faint%5:00:02:indistinct:00
hom_1592_11 fold%2:30:10:: fold%2:35:00::
hom_1593_4 quarter%1:21:00:: quarter%1:28:02::
hom_1596_10 add%2:30:00:: add%2:31:00::
hom_1602_20 drawers%1:06:02:: short_circuit%1:06:00::
hom_1605_15 screw%2:35:03:: screw%2:35:01::
hom_1608_11 chain%1:14:02:: chain%1:06:01::
hom_1609_16 stiffly%4:02:00:: cadaver%1:08:00::
hom_1610_11 coaster%1:06:00:: coaster%1:18:00::
hom_1614_12 premises%1:15:00:: premise%1:10:00::
hom_1615_7 make%2:29:06:: make%2:36:15::
hom_1616_7 ramble_on%2:42:00:: digressive%5:00:00:indirect:02
hom_1617_15 stoop%1:06:01:: stoop%1:04:00::
hom_1618_13 imagination%1:09:01:: vision%1:09:02::
hom_1620_11 still%4:02:02:: however%4:02:00::
hom_1622_7 swagger%2:29:00:: bluster%2:43:00::
hom_1624_9 confused%5:00:00:incoherent:00 disjointed%5:00:00:injured:00
hom_1625_14 makeup%1:06:00:: constitution%1:07:00::
hom_1627_10 release%1:06:01:: release%1:06:00::
hom_1628_10 stop%2:38:01:: stop%2:41:00::
hom_1632_15 gag%2:29:02:: choke%2:29:04::
hom_1635_11 point%1:10:02:: point%1:23:01::
hom_1636_11 helicopter%1:06:00:: chop%1:04:01::
hom_1637_15 mouse%1:06:00:: mouse%1:05:00::
hom_1638_12 move%2:33:00:: move%2:38:00::
hom_1642_6 listening%1:04:00:: hearing%1:10:00::
hom_1645_11 caper%1:13:00:: antic%1:04:00::
hom_1646_7 latitude%1:15:01:: latitude%1:15:00::
hom_1647_10 circulation%1:23:00:: circulation%1:10:00::
hom_1648_11 light%1:26:00:: luminosity%1:07:00::
hom_1650_6 drudgery%1:04:00:: grind%1:04:00::
hom_1651_22 phase%1:07:00:: phase%1:26:00::
hom_1652_8 composition%1:10:00:: newspaper%1:06:00::
hom_1653_13 light%1:26:00:: light%1:06:00::
hom_1655_6 pad%1:27:01:: pill%1:06:00::
hom_1657_9 layer%1:05:01:: layer%1:05:00::
hom_1658_10 pamper%2:41:00:: botch%2:41:00::
hom_1661_12 recoil%1:11:01:: kick%1:04:00::
hom_1663_8 relax%2:29:00:: unwind%2:35:06::
hom_1666_5 part%1:08:01:: farewell%1:04:00::
hom_1670_10 interest%1:21:00:: interest%1:21:03::
hom_1671_10 attach%2:35:00:: attach%2:35:01::
hom_1675_10 revolution%1:04:00:: revolution%1:11:01::
hom_1677_13 behind%4:02:01:: behind%4:02:03::
hom_1678_1 beat%2:35:01:: beat%2:33:00::
hom_1680_9 heart%1:08:00:: heart%1:06:00::
hom_1682_14 light%1:26:00:: luminosity%1:07:00::
hom_1685_10 spark%2:43:00:: trip%2:36:00::
hom_1686_7 charge%2:40:01:: charge%2:30:00::
hom_1687_13 workplace%1:06:00:: work%1:06:00::
hom_1689_7 vision%1:09:02:: imagination%1:09:01::
hom_1690_4 fume%2:37:00:: reek%2:29:00::
hom_1691_15 proof%1:23:00:: proof%1:09:00::
hom_1692_11 backhand%2:35:00:: backhand%3:00:00::
hom_1694_12 blow%2:30:08:: blow%2:43:00::
hom_1697_26 contact%1:06:00:: contact%1:18:00::
hom_1698_17 blaze%1:22:00:: glare%1:07:00::
hom_1700_16 bore%2:37:00:: tire%2:29:01::
hom_1701_7 bill%1:21:00:: note%1:10:04::
hom_1702_5 short%3:00:04:: short%5:00:00:breakable:00
hom_1703_13 infuriate%2:37:00:: cense%2:39:00::
hom_1704_15 point%1:10:02:: point%1:06:00::
hom_1707_13 necktie%1:06:00:: draw%1:11:00::
hom_1708_3 flag%2:32:00:: flag%2:30:00::
hom_1709_5 proportional%5:00:00:proportionate:00 relative%1:18:00::
hom_1711_7 buzz%2:39:00:: hum%2:42:00::
hom_1713_13 attractive%3:00:01:: attractive%5:00:00:appealing:00
hom_1714_8 change%2:30:03:: transfer%2:38:02::
hom_1715_7 flop%1:11:00:: female_chest%1:08:00::
hom_1717_6 bitty%5:00:00:small:00 wee%1:28:00::
