hom_8_17	vault%1:04:00::	bank_vault%1:06:00::
hom_1195_13	world%1:17:00::	out_of_this_world%5:00:00:superior:02
hom_1198_10	hold%2:35:03::	hold%2:32:15::
hom_1209_18	target%1:18:00::	target%1:09:00::
hom_1211_5	loaded%3:00:00::	loaded%5:00:00:prejudiced:00
hom_1213_18	swallow%2:34:00::	swallow%2:31:03::
hom_1215_14	patch%1:28:00::	patch%1:07:00::
hom_1217_9	shelve%2:35:10::	shelve%2:42:00::
hom_1224_17	spin%1:11:00::	spin%2:38:01::
hom_1225_21	grass%1:20:00::	grass%2:35:00::
hom_1227_6	take%2:30:00::	take_off%2:29:03::
hom_1229_12	still%4:02:04::	still%4:02:01::
hom_1232_16	driving%5:00:00:dynamic:00	driving%5:00:00:energetic:00
hom_1236_14	fathom%1:23:01::	fathom%1:23:02::
hom_1238_5	sweat%1:08:00::	sweat%1:04:00::
hom_1239_12	sum_up%2:32:00::	sum%2:42:00::
hom_1245_4	remain%2:30:00::	remain%2:42:01::
hom_1248_13	manila%1:15:00::	manila%1:27:00::
hom_1249_8	cast%1:04:02::	cast%1:04:01::
hom_1260_27	cinch%2:35:00::	cinch%1:06:00::
hom_1262_11	strain%1:10:00::	strain%2:35:01::
hom_1267_16	direction%1:24:00::	direction%1:09:01::
hom_1269_11	underworld%1:09:00::	underworld%1:14:00::
hom_1270_9	wrap%2:35:00::	wrap%1:06:01::
hom_1271_11	classified%1:10:00::	classify%2:31:00::
hom_1274_12	make%2:36:00::	make%2:36:01::
hom_1275_20	channel%1:08:00::	channel%2:35:00::
hom_1276_7	group%1:03:00::	group%1:09:00::
hom_1279_18	heated%5:00:00:hot:01	heated%5:00:00:hot:02
hom_1282_9	unstrung%5:00:00:discomposed:00	unstring%2:35:00::
hom_1283_15	cold%3:00:01::	cold%5:00:00:unconscious:00
hom_1287_16	combination%1:14:02::	combination%1:14:00::
hom_1291_6	rave%2:32:00::	rave%2:41:00::
hom_1292_15	go%2:38:00::	go%2:39:00::
hom_1294_13	heated%5:00:00:hot:01	heated%5:00:00:hot:02
hom_1295_8	bust%2:35:01::	bust%2:35:00::
hom_1301_13	impact%2:30:00::	impact%1:04:01::
hom_1302_14	stick%2:31:00::	stick%1:06:00::
hom_1304_11	commission%1:26:00::	commission%2:41:01::
hom_1305_8	interest%1:07:01::	interest%1:07:02::
hom_1308_8	change%1:04:00::	change%2:30:01::
hom_1309_25	fly%2:38:01::	fly%5:00:00:alert:00
hom_1312_6	flop%1:11:00::	flop%2:41:00::
hom_1314_14	break%2:41:13::	break%2:35:01::
hom_1315_7	credit%2:31:01::	credit%2:31:12::
hom_1320_7	file%2:32:00::	file%1:06:00::
hom_1326_16	guts%1:07:00::	gut%1:08:00::
hom_1329_8	saving%1:04:00::	saving%1:04:02::
hom_1331_17	ring%1:11:00::	ring%1:06:00::
hom_1332_18	connection%1:04:01::	connection%1:24:00::
hom_1336_9	react%2:31:00::	react%2:30:00::
hom_1339_17	mark%1:07:02::	mark%2:30:00::
hom_1340_7	draw%2:40:01::	draw%2:35:03::
hom_1342_12	resort%1:04:00::	resort%2:41:11::
hom_1343_12	cram%2:31:00::	cram%2:30:00::
hom_1345_16	connection%1:04:00::	connection%1:06:00::
hom_1349_12	pointed%5:00:00:direct:02	pointed%3:00:00::
hom_1352_7	boring%5:00:00:uninteresting:00	bore%2:35:00::
hom_1359_26	serve%2:41:02::	serve%2:41:01::
hom_1363_10	dribbling%1:04:00::	dribble%1:04:00::
hom_1367_16	web%1:17:00::	web%1:06:00::
hom_1369_2	nail%1:06:00::	nail%2:41:00::
hom_1379_8	keep%2:40:00::	keep%2:41:01::
hom_1381_14	shot%1:10:01::	shot%1:04:04::
hom_1382_12	lie%2:35:00::	lie%2:38:00::
hom_1383_15	rattle%2:38:00::	rattle%1:11:00::
hom_1384_12	brush%1:04:04::	brush%1:06:00::
hom_1387_20	shake%1:10:00::	shake%2:38:00::
hom_1389_8	astronomical%3:01:00::	astronomical%5:00:00:large:00
hom_1391_7	culture%2:30:00::	culture%1:09:00::
hom_1393_9	chime_in%2:32:00::	chime%2:39:00::
hom_1396_10	strain%1:10:00::	strain%1:19:00::
hom_1397_6	striking%5:00:00:conspicuous:00	strike%2:37:00::
hom_1400_19	strike%2:35:01::	strike%2:35:00::
hom_1401_13	console%2:37:00::	console%1:06:03::
hom_1403_10	figure%1:25:00::	figure%2:31:00::
hom_1404_15	flap%1:26:00::	flap%1:06:00::
hom_1407_4	run_through%2:34:01::	run%2:38:01::
hom_1410_9	taste%1:09:01::	taste%2:34:00::
hom_1412_19	gravitate%2:38:00::	gravitate%2:42:01::
hom_1414_16	multiply%2:30:00::	multiply%2:31:00::
hom_1416_20	fall%2:30:06::	fall%2:38:00::
hom_1417_10	interest%1:14:00::	interest%1:07:02::
hom_1419_10	brush%1:06:00::	brush_off%2:32:01::
hom_1423_15	guide%2:39:00::	guide_on%2:39:00::
hom_1424_20	push%2:38:00::	push%2:40:00::
hom_1429_26	single%3:00:00::	single%5:00:00:uniform:00
hom_1433_10	measure%1:03:00::	measure%1:04:01::
hom_1436_9	shuffle%2:35:00::	shuffle%1:04:01::
hom_1441_9	hiding%1:26:00::	hide%2:39:01::
hom_1442_14	harp%1:06:01::	harp%1:06:00::
hom_1449_20	deal%2:40:02::	deal%2:40:06::
hom_1452_15	depth%1:07:00::	depth%1:07:01::
hom_1453_3	overboard%4:02:01::	overboard%4:02:00::
hom_1463_17	concrete%3:00:00::	concrete%5:00:00:solid:01
hom_1465_17	foggy%5:00:00:cloudy:00	foggy%5:00:00:indistinct:00
hom_1466_23	cast%1:04:01::	cast%2:32:00::
hom_1470_5	tip%2:32:04::	tip%1:25:00::
hom_1471_11	fold%1:08:00::	fold%1:14:00::
hom_1473_13	will%1:09:01::	will%2:40:00::
hom_1477_15	tack%2:36:05::	tack%2:38:00::
hom_1479_22	plot%1:10:00::	plot%1:15:00::
hom_1485_15	time%1:28:06::	time%2:30:01::
hom_1488_18	lead%1:09:00::	lead%2:42:04::
hom_1492_14	run%2:33:01::	run%2:33:06::
hom_1495_23	develop%2:39:00::	develop%2:29:00::
hom_1496_16	shape%1:07:00::	shape%2:30:00::
hom_1501_12	animate%3:00:02::	animated%5:00:00:moving:03
hom_1502_7	window%1:06:05::	window%1:28:00::
hom_1504_10	function%1:11:00::	function%2:35:00::
hom_1507_15	hitch%1:06:01::	hitch%1:06:00::
hom_1508_15	put%2:35:00::	put_down%2:32:05::
hom_1510_7	rough%5:00:00:difficult:00	rough%3:00:00::
hom_1516_14	move%2:38:03::	move%1:04:00::
hom_1518_18	fill%2:30:02::	fill%1:27:00::
hom_1520_7	breeze%1:19:00::	breeze%2:43:00::
hom_1523_14	key%1:06:00::	key%1:23:00::
hom_1527_18	collect%2:40:00::	collect%2:40:01::
hom_1534_17	pump%2:38:03::	pump%1:08:00::
hom_1535_10	cleanly%4:02:00::	cleanly%4:02:02::
hom_1537_9	odds%1:24:00::	at_odds%5:00:00:inconsistent:00
hom_1538_6	umbrella%1:06:00::	umbrella%5:00:00:comprehensive:00
hom_1539_10	disconnect%2:35:00::	disconnect%2:35:03::
hom_1540_15	revealing%3:00:00::	reveal%2:32:00::
hom_1541_12	partial%5:00:00:incomplete:00	partial%1:09:01::
hom_1543_14	execution%1:22:00::	execution%1:04:01::
hom_1545_17	pick_up%2:40:01::	pick%1:04:00::
hom_1553_11	scratch%1:18:00::	scratch%1:10:00::
hom_1555_11	break%2:35:01::	break%2:30:15::
hom_1558_9	stroke%1:11:02::	stroke%1:23:00::
hom_1559_10	count%2:42:00::	count%1:23:00::
hom_1560_7	high%5:00:00:intoxicated:00	high%3:00:01::
hom_1561_16	column%1:10:01::	column%1:14:00::
hom_1565_9	unstrung%5:00:00:discomposed:00	unstring%2:35:00::
hom_1567_13	stride%1:04:00::	in_stride%4:02:00::
hom_1569_9	fork%1:06:00::	fork%2:30:00::
hom_1570_11	recover%2:29:00::	recovered%5:00:00:well:01
hom_1573_6	dry%3:00:01::	dry%2:30:01::
hom_1578_10	dark%3:00:01::	dark%5:00:00:concealed:00
hom_1579_16	get%2:40:00::	get%2:30:03::
hom_1587_9	weed_out%2:40:00::	weed%2:30:00::
hom_1588_16	cut%1:04:02::	cut%2:35:00::
hom_1589_13	unravel%2:30:01::	unravel%2:35:01::
hom_1592_11	fold%2:30:10::	fold%2:35:00::
hom_1596_10	add%2:30:00::	add%2:40:00::
hom_1602_20	short%3:00:02::	short%2:36:00::
hom_1605_15	screw%2:35:04::	screw_up%2:41:00::
hom_1607_10	accidental%1:10:00::	accidental%5:00:00:unintended:00
hom_1609_16	stiff%3:00:00::	stiff%5:00:00:formal:01
hom_1610_11	coaster%1:06:00::	coaster%1:18:01::
hom_1614_12	premise%1:10:00::	premises%1:15:00::
hom_1616_7	rambling%5:00:00:indirect:02	ramble%2:38:01::
hom_1617_15	stoop%1:04:00::	stoop%2:35:02::
hom_1622_7	bluster%2:43:00::	bluster%2:29:00::
hom_1625_14	makeup%1:11:00::	makeup%1:07:00::
hom_1628_10	stop%2:30:05::	stop%2:38:01::
hom_1632_15	choke%2:30:01::	choked%5:00:00:obstructed:00
hom_1635_11	point%1:07:02::	point%1:26:00::
hom_1637_15	mouse%1:06:00::	computer_mouse%1:06:00::
hom_1638_12	move%2:38:01::	move%2:38:00::
hom_1642_6	hearing%1:26:00::	hearing%1:09:00::
hom_1645_11	caper%1:04:00::	caper%2:38:00::
hom_1648_11	light%1:09:01::	light%1:19:00::
hom_1651_22	phase%1:07:00::	phase%1:28:01::
hom_1652_8	paper%1:27:00::	paper%1:10:03::
hom_1657_9	layer%1:05:01::	layer%2:35:00::
hom_1658_10	spoil%2:37:00::	spoil%1:21:00::
hom_1661_12	kick%1:12:00::	kick%2:32:00::
hom_1671_10	attach%2:35:01::	attach%2:41:03::
hom_1675_10	revolution%1:11:00::	revolution%1:11:01::
hom_1676_12	chime_in%2:32:00::	chime%2:39:00::
hom_1677_13	behind%4:02:02::	behind%4:02:01::
hom_1678_1	beat%2:31:00::	beat%1:04:01::
hom_1680_9	heart%1:15:00::	heart%1:09:00::
hom_1682_14	light%1:06:01::	light%1:09:01::
hom_1685_10	spark%1:23:00::	spark%2:43:00::
hom_1686_7	charge_card%1:21:00::	charge%2:33:01::
hom_1687_13	work%1:04:00::	work%2:41:01::
hom_1690_4	fume%2:43:00::	fume%1:19:00::
hom_1692_11	backhanded%5:00:00:indirect:02	backhand%1:04:00::
hom_1694_12	blow%2:29:00::	blow%1:11:01::
hom_1698_17	blaze%1:11:00::	blaze%1:22:00::
hom_1700_16	tired%3:00:00::	tire%2:29:01::
hom_1701_7	musical_note%1:10:00::	note%1:10:04::
hom_1702_5	short%3:00:03::	short%1:06:01::
hom_1703_13	incense%2:39:00::	incense%2:37:01::
hom_1707_13	tie%1:11:00::	tie_in%2:31:00::
hom_1708_3	flag%2:36:00::	flag%1:10:00::
hom_1713_13	attractive%3:00:01::	attractive%3:00:02::
hom_1714_8	change%2:30:04::	change%2:30:06::
hom_1715_7	bust%1:11:00::	bust%2:35:01::
hom_1720_15	sentence%1:04:00::	sentence%1:28:00::
hom_1726_13	remote%5:00:00:unlikely:00	remote%1:06:00::
hom_1729_10	table%1:06:02::	table%1:06:01::
hom_1734_12	dawn%2:31:13::	dawn%2:42:01::
hom_1735_4	swell%1:18:00::	swell%5:00:00:good:01
hom_1737_4	poach%2:30:00::	poach%2:33:00::
hom_1739_11	high%5:00:00:intoxicated:00	high%1:06:00::
hom_1744_12	sum_up%2:32:00::	sum%2:42:00::
hom_1747_10	unbelievable%3:00:04::	unbelievable%5:00:00:implausible:00
hom_1748_19	skinny%1:10:00::	the_skinny%1:10:00::
hom_1749_15	pepper%2:39:00::	pepper%2:33:00::
hom_1750_11	stop%1:11:00::	stop%1:06:03::
hom_1751_20	stone%2:35:00::	stone%2:30:00::
hom_1756_14	gift%1:21:00::	gift_wrapping%1:06:00::
hom_1757_13	relish%1:09:00::	relish%2:37:00::
hom_1760_8	love%2:37:02::	love%2:37:00::
hom_1763_16	puzzle%1:06:00::	puzzle%1:10:00::
hom_1767_11	change%1:04:00::	change%2:30:00::
hom_1768_8	dispense_with%2:41:00::	dispense%2:41:00::
hom_1770_10	hacker%1:18:01::	hacker%1:18:00::
hom_1771_10	rib%1:08:01::	rib%1:08:02::
hom_1773_13	star%2:36:00::	star%1:17:00::
hom_1775_10	fault%1:26:00::	fault%1:17:00::
hom_1778_13	hang_out%2:41:00::	hang%1:04:00::
hom_1780_9	pile%1:21:00::	pile%1:23:00::
hom_1781_5	picture%2:36:01::	picture%2:36:00::
hom_1782_16	follow_through%2:30:00::	follow%2:41:10::
hom_1787_9	step%1:10:02::	step_ladder%1:06:00::
hom_1791_7	flop%1:11:00::	flop%2:41:00::
hom_1792_24	strike%1:04:02::	strike%1:11:00::
hom_1794_9	shorten%2:30:01::	shortening%1:04:00::
hom_1796_9	grave%5:00:00:serious:00	grave%5:00:00:important:00
hom_1797_15	fudge%2:32:00::	fudge%2:41:00::
hom_1799_8	volume%1:06:00::	volume%1:23:00::
hom_1804_14	see_to_it%2:31:00::	see%2:31:03::
hom_1807_10	streak%1:07:00::	streak%2:36:00::
hom_1809_6	crude%5:00:01:unskilled:00	crude%5:00:00:indecent:00
hom_1813_12	draft%1:10:00::	draft%2:36:00::
hom_1815_17	pinch%1:11:01::	pinch%1:26:01::
hom_1820_13	kickoff%1:04:00::	kickoff%1:28:00::
hom_1821_10	fire%2:41:00::	fire%1:06:00::
hom_1822_17	concentration%1:07:01::	concentration%1:04:01::
hom_1824_11	novel%1:10:00::	novel%1:06:00::
hom_1825_2	huddle%1:14:00::	huddle%1:10:00::
hom_1833_10	sage%1:20:00::	sage%1:18:00::
hom_1834_5	dead%5:00:00:insensitive:01	dead%5:00:00:insensitive:02
hom_1836_11	tidy%5:00:00:considerable:00	tidy_sum%1:23:00::
hom_1837_15	basketball_shot%1:04:00::	shot%1:04:06::
hom_1838_17	delicious%5:00:00:pleasing:00	delicious%1:13:00::
hom_1840_16	tie_up%2:35:00::	tie_up%2:35:05::
hom_1843_12	come%2:38:00::	come_up%2:38:03::
hom_1849_7	blow_over%2:30:00::	blow%1:19:00::
hom_1851_9	croak%2:30:00::	croak%2:32:01::
hom_1855_4	repress%2:35:00::	repress%2:41:00::
hom_1856_7	dictate%2:31:00::	dictate%2:32:00::
hom_1860_11	pull_off%2:41:00::	pull%2:35:00::
hom_1863_8	score%1:23:00::	score%1:04:00::
hom_1871_13	fledgling%5:00:00:fledged:00	fledgling%1:05:00::
hom_1872_9	joint%3:00:00::	artificial_joint%1:06:00::
hom_1873_24	cell%1:03:00::	prison_cell%1:06:00::
hom_1877_14	era%1:10:00::	era%1:28:00::
hom_1878_16	shock%2:37:00::	shock%1:04:01::
hom_1880_10	hole%1:17:01::	hole%1:26:01::
hom_1885_13	block%1:09:00::	block%1:06:00::
hom_1886_13	fan%1:06:00::	fan%2:35:01::
hom_1887_10	mothball%1:06:00::	mothball%2:40:00::
hom_1888_13	mug%2:40:00::	mug%1:06:00::
hom_1894_17	shocking%5:00:00:immoral:00	shock%1:04:01::
hom_1905_14	conviction%1:04:00::	conviction%1:09:00::
hom_1906_8	keel_over%2:38:00::	keel%2:38:00::
hom_1907_14	go%2:38:00::	go%2:39:00::
hom_1913_13	form%1:10:01::	form%1:07:01::
hom_1915_6	grow%2:30:00::	growing%1:22:01::
hom_1918_17	manual%1:04:00::	manual%1:10:00::
hom_1922_9	press%2:42:00::	press%1:06:02::
hom_1923_13	fit%1:07:00::	fit%3:00:01::
hom_1924_19	cut%2:41:10::	cut%2:35:00::
hom_1925_12	ring%1:07:00::	ring%2:35:00::
hom_1926_8	speaker%1:18:00::	speaker%1:06:00::
hom_1927_11	peak%1:25:01::	mountain_peak%1:17:00::
hom_1929_12	get_rolling%2:30:00::	roll%2:35:01::
hom_1933_9	offensive%3:00:01::	offensive%3:00:04::
hom_1934_16	suck%2:38:00::	suck%1:04:00::
hom_1940_14	spin%1:04:00::	spin%2:38:01::
hom_1941_9	reaction%1:04:00::	reaction%1:04:01::
hom_1942_9	wind%2:38:00::	wind%2:35:00::
hom_1943_4	flat%5:00:00:even:01	flat%1:06:00::
hom_1945_10	standing%1:26:00::	stand%2:31:00::
hom_1946_19	derivative%5:00:00:derived:00	derivative%1:10:01::
hom_1947_15	incensed%5:00:00:angry:00	incense%2:39:00::
hom_1948_11	flame%2:43:00::	flaming%1:22:00::
hom_1951_16	count%1:23:00::	count%2:32:00::
hom_1955_16	breeze%1:19:00::	breeze%1:04:00::
hom_1958_9	rifle%1:06:00::	rifle%2:35:13::
hom_1960_6	twist%1:04:00::	twist%1:25:00::
hom_1963_10	react%2:31:00::	react%2:30:00::
hom_1964_8	flat%1:06:00::	flat%5:00:00:thin:01
hom_1965_20	cover%2:42:14::	cover%2:32:00::
hom_1969_10	pull%2:30:11::	pull%2:38:03::
hom_1970_5	board%1:27:00::	board%1:13:00::
hom_1972_13	point%1:10:03::	point%1:23:01::
hom_1976_14	litter%1:14:00::	litter%2:29:00::
hom_1977_10	exhaust%2:29:00::	exhaust%1:06:00::
hom_1979_8	pass%2:30:11::	pass_away%2:30:00::
hom_1983_14	under%5:00:00:low:01	under%4:02:07::
hom_1988_14	plaster%2:35:00::	plaster%1:27:00::
hom_1991_16	point%1:28:00::	point%1:10:01::
hom_1992_5	web%1:14:00::	web%2:36:00::
hom_1994_11	turn%1:11:01::	turn%2:30:04::
hom_1995_7	hound%2:38:00::	hound%1:05:00::
hom_1996_6	ignite%2:37:00::	ignite%2:43:00::
hom_2002_5	number%1:07:00::	large_number%1:23:00::
hom_2005_7	wash%2:35:00::	wash_out%2:35:00::
hom_2009_17	plant%1:09:00::	plant%2:35:06::
hom_2011_15	nail%2:35:00::	nail%2:41:01::
hom_2016_10	mint%1:23:00::	mint%1:13:00::
hom_2018_16	bunk%1:10:00::	bunk%1:06:00::
hom_2019_13	shot%1:10:01::	shot%1:04:04::
hom_2021_3	electrify%2:30:01::	electrify%2:37:00::
hom_2025_11	scoop%1:10:00::	scoop%1:06:00::
hom_2029_15	milk%2:34:00::	milk%1:08:00::
hom_2030_9	figure%1:25:00::	figure%1:10:01::
hom_2032_14	dead_end%1:06:00::	dead%5:00:00:tired:00
hom_2033_22	scotch%1:13:00::	scotch_whisky%1:13:00::
hom_2034_12	foot%1:05:00::	foot%1:18:00::
hom_2036_14	cut%1:04:02::	cut%2:30:06::
hom_2039_21	argument%1:10:02::	argument%1:10:04::
hom_2044_7	suit%1:04:00::	suit%1:06:00::
hom_2045_4	fiddle%1:06:00::	fiddle%2:41:00::
hom_2048_16	blossom%1:28:00::	blossom%1:20:00::
hom_2050_13	taxing%5:00:00:heavy:02	tax%1:21:00::
hom_2053_1	security%1:21:04::	security%1:26:00::
hom_2055_9	spot%2:35:00::	spot%1:15:01::
hom_2058_11	intoxicating%5:00:00:exciting:00	intoxicate%2:34:00::
hom_2060_17	insurance_policy%1:10:00::	policy%1:10:02::
hom_2062_8	break_down%2:29:00::	break%2:30:05::
hom_2065_10	bluster%2:29:00::	bluster%2:43:00::
hom_2066_13	momentum%1:07:01::	momentum%1:07:00::
hom_2069_12	quivering%1:04:00::	quiver%1:04:00::
hom_2072_9	fishy%3:01:00::	fishy%5:00:00:questionable:00
hom_2073_21	round_up%2:35:00::	round%2:30:03::
hom_2076_12	stroke%1:10:01::	stroke%2:35:00::
hom_2079_8	bluff%2:33:00::	bluff%2:32:00::
hom_2088_18	short%3:00:03::	short%3:00:00::
hom_2100_12	moonlight%2:41:00::	moonlight%1:19:00::
hom_2103_14	ruler%1:18:00::	ruler%1:06:00::
hom_2104_9	erase%2:30:00::	erase%2:32:00::
hom_2106_8	pine_away%2:30:00::	pine%2:37:00::
hom_2107_11	needle%2:35:00::	needle%2:32:00::
hom_2108_9	blue%1:17:00::	blue_sky%1:17:00::
hom_2111_15	lot%1:26:00::	lot%1:18:00::
hom_2114_17	mull%2:31:00::	mull_over%2:31:00::
hom_2116_19	jog%2:38:00::	jog%2:38:01::
hom_2117_7	hang%2:41:00::	hanging%1:04:02::
hom_2119_7	play%1:26:00::	play%1:10:01::
hom_2120_18	change%2:30:01::	change%2:30:02::
hom_2122_7	check%2:31:02::	check%1:21:00::
hom_2124_13	look%2:39:00::	look%2:39:01::
hom_2127_10	weather%1:19:00::	weather%2:30:00::
hom_2129_14	red%1:21:00::	red%1:07:00::
hom_2133_10	weight%1:07:01::	weight%1:23:00::
hom_2136_19	stage%2:36:00::	stage%1:06:00::
hom_2138_13	tick%1:10:00::	tick%2:31:00::
hom_2139_11	trailer%1:06:00::	trailer%1:18:00::
hom_2140_17	dirty%3:00:01::	dirty%2:35:00::
hom_2142_7	gear_up%2:30:00::	gear%2:30:00::
hom_2143_1	home%1:06:02::	home%4:02:01::
hom_2147_4	wire%2:40:00::	wired%5:00:00:tense:03
hom_2150_1	pick%2:35:05::	pick%2:34:00::
hom_2152_11	dribbling%1:04:00::	dribble%1:04:00::
hom_2158_11	degree%1:23:03::	degree_fahrenheit%1:23:00::
hom_2161_10	part%1:06:00::	part%1:09:02::
hom_2165_11	blow%1:11:01::	blow%2:38:09::
hom_2166_9	cement%1:27:00::	cement%2:35:01::
hom_2169_14	fast%3:00:01::	fast%2:34:00::
hom_2175_11	wavelength%1:09:00::	wavelength%1:07:00::
hom_2176_10	brace%2:29:00::	brace%1:06:01::
hom_2178_10	search_warrant%1:10:00::	warrant%1:10:00::
hom_2179_10	screw_up%2:41:00::	screw%1:06:00::
hom_2180_12	goal%1:06:00::	goal%1:04:00::
hom_2181_18	catch%1:23:00::	catch%2:35:00::
hom_2183_10	grapevine%1:20:00::	grapevine%1:10:00::
hom_2185_13	shady%5:00:00:questionable:00	shady%5:00:00:shaded:01
hom_2186_16	trash%1:10:00::	trash%1:14:01::
hom_2192_11	cushion%2:35:00::	cushion%1:06:00::
hom_2200_9	fair_deal%1:11:00::	fair%3:00:03::
hom_2202_11	fire%2:41:00::	fire%2:30:00::
hom_2209_3	buoyant%5:00:00:light:01	buoyant%5:00:00:cheerful:00
hom_2212_22	well%4:02:00::	well%1:06:00::
hom_2217_15	venture%1:04:00::	venture%1:21:00::
hom_2222_4	shot%1:04:06::	shot%1:06:02::
hom_2227_9	hook%2:40:02::	hook%2:35:01::
hom_2228_19	bank%1:04:00::	bank%2:38:00::
hom_2229_5	credit%1:10:01::	credit%2:31:12::
hom_2233_6	fall%1:11:03::	fall%1:04:01::
hom_2235_13	bounce%2:40:00::	bounce%2:38:00::
hom_2237_11	instrumental%5:00:00:helpful:00	instrumental%3:01:00::
hom_2238_9	legend%1:10:00::	legend%1:10:01::
hom_2240_20	chew%2:34:00::	chew%1:04:00::
hom_2244_9	waste%2:30:02::	waste%2:35:00::
hom_2248_8	play%2:33:00::	play_out%2:30:00::
hom_2249_13	bright%5:00:00:auspicious:00	bright%3:00:00::
hom_2250_8	lame%5:00:00:weak:00	lame%5:00:01:unfit:01
