het_1_14 charge%2:38:01:: alleged%5:00:00:declared:00
het_825_12 bear%2:40:02:: plaque%1:08:00::
het_826_10 table%1:14:01:: libel%1:10:01::
het_827_31 touch%1:23:00:: meet%1:11:00::
het_828_7 point%2:30:00:: pint%1:23:02::
het_830_10 solely%4:02:00:: stonily%4:02:00::
het_832_1 lie%2:38:00:: pray%2:32:00::
het_834_20 pop%2:38:00:: whine%1:10:00::
het_837_14 drinker%1:18:00:: absinthe%1:20:00::
het_840_19 pill%1:09:00:: krill%1:05:00::
het_843_24 dark%5:00:00:evil:00 mist%2:39:00::
het_844_16 bear%2:40:02:: pore%1:08:00::
het_847_19 oddly%4:02:00:: oddly%4:02:00::
het_848_12 accede%2:41:00:: reed%1:06:00::
het_849_13 situation%1:04:00:: reign%1:28:01::
het_851_8 quadratic%3:01:00:: secant%1:25:00::
het_852_4 indifferent%5:00:00:unconcerned:00 callous%2:30:00::
het_854_21 present%2:32:03:: cent%1:23:00::
het_855_20 poem%1:10:00:: simile%1:10:00::
het_859_12 bear%2:40:02:: swear%2:32:03::
het_861_9 jack%1:23:00:: chap%1:06:00::
het_863_5 chord%2:36:00:: board%2:38:00::
het_864_13 assert%2:31:00:: assent%2:32:00::
het_867_13 teeny%5:00:00:small:00 meanly%4:02:02::
het_870_14 head%2:42:04:: adze%1:06:00::
het_871_19 hair%1:23:00:: mane%1:05:00::
het_872_18 gimmick%1:04:00:: pacific%1:17:00::
het_874_9 twist%2:35:02:: ironic%5:00:00:incongruous:00
het_875_5 people%1:14:00:: eagle%1:23:00::
het_877_12 initiate%1:18:02:: launch%2:35:04::
het_881_5 deep%5:00:00:large:00 waist%1:06:00::
het_882_10 bear%2:40:02:: deer%1:05:00::
het_883_19 line%1:10:03:: loin%1:05:00::
het_885_12 unpleasant%3:00:00:: odor%1:09:00::
het_886_8 replacement%1:11:00:: patient%1:18:00::
het_887_9 assert%2:31:00:: assent%2:32:00::
het_888_10 layer%1:15:00:: tooth%1:08:00::
het_889_8 simply%4:02:03:: clearly%4:02:03::
het_890_9 view%2:31:00:: coo%1:11:00::
het_893_13 intensity%1:07:02:: tellingly%4:02:00::
het_895_14 posture%2:41:00:: posture%1:07:00::
het_898_18 sit%2:39:00:: knight%1:18:00::
het_900_19 second%5:00:00:ordinal:00 two%1:23:00::
het_901_17 lie%2:38:00:: pi%1:06:00::
het_902_5 consume%2:34:00:: shellfish%1:05:01::
het_903_19 fiber%1:07:00:: holey%5:00:00:leaky:00
het_905_21 racist%1:18:00:: minstrel%1:18:01::
het_907_8 fall%2:30:11:: morel%1:20:00::
het_908_8 invention%1:09:00:: fabrication%1:04:00::
het_909_9 support%2:41:00:: role%1:04:00::
het_911_14 draw%2:30:00:: yaw%2:42:00::
het_913_11 scores%1:23:00:: graph%2:36:01::
het_914_7 bear%2:40:02:: prayer%1:10:01::
het_915_13 toe%2:38:00:: foot%1:06:00::
het_920_7 ease%1:04:00:: spree%1:04:00::
het_921_9 step%1:23:01:: steppe%1:17:00::
het_922_6 nobly%4:02:00:: piously%4:02:01::
het_923_13 greatly%4:02:00:: wildly%4:02:00::
het_924_6 ocean%1:23:00:: coral%1:27:00::
het_926_14 disdainfully%4:02:02:: caustically%4:02:00::
het_929_5 pinch%1:23:00:: catch_up%2:38:00::
het_930_7 bate%2:41:00:: beet%1:20:00::
het_933_5 strike%2:38:08:: lichen%1:20:00::
het_934_8 knavishly%4:02:00:: puckishly%4:02:00::
het_935_14 hair%1:23:00:: lightly%4:02:05::
het_937_8 indent%2:35:00:: indentured%5:00:00:unfree:00
het_940_10 indifferent%5:00:00:unconcerned:00 pigment%1:27:00::
het_943_16 lie%2:38:00:: dye%1:27:00::
het_944_30 get%2:30:00:: heard%5:00:00:detected:00
het_945_7 be%2:42:03:: cd%1:06:00::
het_948_9 plight%2:32:00:: right%1:07:00::
het_949_22 pop%2:38:00:: maize%1:20:00::
het_950_8 grain%2:30:01:: lye%1:27:00::
het_951_1 lie%2:38:00:: pray%2:32:00::
het_952_17 unwaveringly%4:02:00:: quaveringly%4:02:00::
het_953_9 building%1:06:00:: peeling%1:19:00::
het_954_9 twist%2:35:02:: ironic%5:00:00:humorous:00
het_955_20 prim%2:30:01:: mime%1:18:00::
het_956_4 lie%2:38:00:: dye%1:27:00::
het_958_28 mite%1:23:00:: gneiss%1:27:00::
het_964_7 deep%5:00:00:large:00 waist%1:08:00::
het_969_9 double%5:00:00:large:00 duel%1:04:00::
het_971_20 short%3:00:03:: cursory%5:00:00:careless:00
het_973_16 h%1:23:01:: horse%1:05:00::
het_974_19 ocean%1:23:00:: sea%1:17:00::
het_977_10 beat%2:41:03:: feat%1:04:00::
het_978_17 roughly%4:02:00:: basically%4:02:00::
het_980_11 scam%1:04:00:: phony%1:18:00::
het_981_9 conspiracy%1:09:00:: apparently%4:02:00::
het_982_15 gop%1:14:00:: copse%1:14:00::
het_983_9 become%2:30:00:: seem%2:39:00::
het_984_12 occupy%2:41:04:: fill%2:30:01::
het_985_10 bear%2:40:02:: corps%1:14:00::
het_986_14 great%5:00:01:large:00 billed%5:00:00:beaked:00
het_987_15 drove%1:14:01:: clove%1:13:01::
het_989_11 blase%5:00:00:unconcerned:00 sunday%1:28:00::
het_990_6 dramatise%2:32:01:: dogmatize%2:32:00::
het_991_12 law%1:09:01:: afoul%5:00:00:tangled:00
het_992_10 crafty%5:00:00:artful:00 batty%5:00:00:insane:00
het_993_24 sense%1:09:06:: wit%1:10:00::
het_995_4 zero%1:09:00:: pharaoh%1:18:00::
het_997_10 phlegmatic%5:00:00:unemotional:00 phlegmatically%4:02:00::
het_998_11 bear%2:40:02:: barn%1:06:00::
het_1001_17 offence%1:04:01:: punishment%1:04:00::
het_1002_14 measurable%3:00:00:: weakly%5:00:00:frail:00
het_1004_7 enormous%5:00:00:large:00 porpoise%1:05:00::
het_1005_19 pouch%2:30:00:: ladle%1:06:00::
het_1006_13 small%3:00:00:: relatively%4:02:00::
het_1007_13 reasoning%1:09:00:: seasoning%1:13:00::
het_1008_14 sensitivity%1:07:00:: illumination%1:10:00::
het_1012_22 present%2:32:03:: ascent%1:11:00::
het_1014_16 up%4:02:05:: backup_man%1:18:00::
het_1016_15 ramp%2:39:00:: pedal%1:06:00::
het_1017_13 seize%2:40:07:: swiftly%4:02:00::
het_1018_74 wolf%1:18:01:: lynx%1:05:00::
het_1019_12 check%2:42:08:: checkered%5:00:00:changeable:00
het_1020_12 walk%2:38:00:: coffin%1:06:00::
het_1021_14 opportunity%1:26:00:: ruefully%4:02:00::
het_1022_13 fife%1:06:00:: forth%1:17:00::
het_1024_9 globally%4:02:00:: notably%4:02:00::
het_1026_10 crescendo%1:07:00:: chord%1:10:00::
het_1027_10 hair%1:23:00:: coupe%1:06:00::
het_1028_14 trace%1:23:00:: ace%1:23:00::
het_1029_9 scale%1:24:00:: spatial%3:01:00::
het_1030_10 volume%1:07:03:: sheer%2:38:00::
het_1031_14 settle%2:30:05:: allow%2:32:00::
het_1032_12 suppose%2:31:06:: guess%2:31:01::
het_1033_17 mint%1:23:00:: assay%1:04:00::
het_1034_7 amply%4:02:00:: blankly%4:02:00::
het_1035_11 proceedings%1:04:00:: liquidation%1:04:00::
het_1036_22 be%2:42:03:: bee%1:05:00::
het_1037_11 speak%2:32:00:: fluently%4:02:00::
het_1043_45 fall%2:30:11:: hard_sell%1:04:00::
het_1045_17 expect%2:31:00:: expectorate%2:30:03::
het_1046_11 high%3:00:03:: aloud%4:02:01::
het_1048_9 vary%2:30:01:: storey%1:06:00::
het_1049_6 go%2:30:04:: write%2:36:00::
het_1050_10 mite%1:23:00:: mitten%1:06:00::
het_1052_12 work%2:30:10:: watt%1:23:00::
het_1053_15 point%2:30:00:: awl%1:06:00::
het_1054_17 settle%2:30:05:: metal%1:27:00::
het_1055_20 lie%2:38:00:: pi%1:18:01::
het_1056_17 great%5:00:01:large:00 freight%1:06:00::
het_1057_9 fall%2:30:11:: morel%1:20:00::
het_1061_13 render%2:40:02:: crudely%4:02:00::
het_1062_9 lie%2:38:00:: pi%1:23:00::
het_1063_14 bead%2:42:00:: pudding%1:13:02::
het_1065_33 grain%2:30:01:: kernel%1:09:00::
het_1066_22 slender%5:00:00:small:00 tenor%1:09:01::
het_1067_19 head%2:42:04:: sing%2:36:00::
het_1070_16 fife%1:06:00:: forth%1:17:00::
het_1071_10 tremendous%5:00:00:large:00 census%2:32:00::
het_1074_37 fight%2:33:00:: staph%1:05:00::
het_1075_3 blase%5:00:00:unconcerned:00 sunday%1:28:00::
het_1076_8 foot%1:23:00:: soot%1:27:00::
het_1077_16 chunk%1:23:00:: byte%1:23:00::
het_1078_9 invention%1:09:00:: irrigation%1:04:01::
het_1079_9 deep%5:00:00:large:00 waist%1:06:00::
het_1080_15 utopian%3:00:00:: engels%1:18:00::
het_1082_14 beat%2:41:03:: ache%1:26:00::
het_1084_15 chronic%5:00:00:long:02 pain%1:26:00::
het_1085_11 lark%2:38:00:: marx%1:18:00::
het_1086_9 concoction%1:09:00:: contraction%1:04:01::
het_1088_26 combine%2:30:02:: romaine%1:13:00::
het_1089_14 opportunity%1:26:00:: ruefully%4:02:00::
het_1090_9 mayan%1:18:00:: inca%1:18:01::
het_1094_8 pop%2:38:00:: whine%1:10:00::
het_1095_10 magnitude%1:24:00:: coo%2:32:01::
het_1096_16 ray%1:25:00:: groan%1:10:00::
het_1098_13 far%5:00:00:long:01 lumbar%3:01:00::
het_1099_13 chord%2:36:00:: bored%5:00:00:tired:00
het_1101_11 nip%1:23:00:: warship%1:06:00::
het_1103_36 presume%2:31:00:: presence%1:26:00::
het_1104_23 posit%2:31:00:: hobbit%1:18:00::
het_1105_12 foully%4:02:00:: barbarously%4:02:00::
het_1109_5 bear%2:40:02:: flour%1:13:00::
het_1110_18 thin%3:00:01:: bin%1:06:00::
het_1112_8 behave%2:29:00:: phrase%2:32:00::
het_1114_16 grain%2:30:01:: kernel%1:09:00::
het_1115_10 plot%1:09:00:: graph%1:10:00::
het_1116_5 loudly%4:02:00:: roundly%4:02:00::
het_1117_10 impute%2:31:01:: butte%1:17:00::
het_1122_13 bray%2:32:00:: brie%1:13:00::
het_1123_12 struggle%2:33:00:: udder%1:05:00::
het_1126_8 draw%2:30:00:: infer%2:31:02::
het_1128_10 flake%2:35:02:: brake%1:06:00::
het_1129_5 rhyme%1:10:01:: stanza%1:10:00::
het_1130_11 find%2:39:02:: finn%1:18:00::
het_1132_8 shrimp%1:18:00:: paste%1:13:01::
het_1133_19 point%2:30:00:: gesture%1:10:00::
het_1134_15 grade%1:07:00:: suede%1:27:00::
het_1137_8 plenty%1:23:00:: yeti%1:18:00::
het_1140_15 accept%2:40:01:: agreed%5:00:00:united:00
het_1141_22 outline%1:09:00:: sine%1:24:00::
het_1142_14 plurality%1:23:01:: organically%4:02:01::
het_1143_13 be%2:42:03:: flea%1:05:00::
het_1144_19 better%4:02:01:: jester%1:18:00::
het_1148_14 simply%4:02:03:: sole%1:06:00::
het_1150_7 scale%1:24:00:: mail%1:10:01::
het_1152_21 total%1:09:00:: whole%1:03:00::
het_1156_9 identity%1:09:00:: testily%4:02:00::
het_1157_13 seek%2:41:00:: clamor%2:32:00::
het_1159_11 curiously%4:02:01:: curiously%4:02:01::
het_1160_9 relieve%2:37:00:: summarily%4:02:00::
het_1168_13 rise%2:38:00:: raisin%1:13:00::
het_1171_9 machine%1:06:01:: mutton%1:13:00::
het_1173_9 bear%2:40:02:: hare%1:13:00::
het_1174_10 hesitantly%4:02:00:: resignedly%4:02:00::
het_1175_35 extraordinary%3:00:00:: stationery%1:10:00::
het_1176_11 indulgently%4:02:00:: appreciatively%4:02:00::
het_1177_20 shakespearean_sonnet%1:10:00:: rhyme%2:42:00::
het_1180_14 refine%2:30:03:: whine%2:38:00::
het_1181_8 conclusively%4:02:00:: movingly%4:02:00::
het_1183_16 cunningly%4:02:00:: lovingly%4:02:00::
het_1184_11 move%2:41:00:: maneuver%1:04:03::
het_1185_9 bear%2:40:02:: bazaar%1:06:01::
het_1190_10 strategy%1:09:00:: callously%4:02:00::
het_1193_15 be%2:42:03:: bee%1:05:00::
het_1194_15 habit%1:22:00:: granite%1:27:00::
het_1195_17 humor%1:10:00:: humerus%1:08:00::
het_1197_9 decrease%2:30:00:: yeast%1:27:00::
het_1199_9 agreement%1:10:01:: peace%1:26:00::
het_1200_15 stacks%1:23:00:: wax%1:27:00::
het_1201_7 mass%1:07:01:: serial%1:10:01::
het_1203_5 deal%1:23:00:: steal%2:40:00::
het_1204_14 epic%5:00:00:large:00 allusion%1:10:00::
het_1205_18 adiposis%1:07:00:: adipose%5:00:00:fatty:00
het_1206_13 take_on%2:41:01:: pecan%1:13:00::
het_1207_26 draw%2:30:00:: clause%1:10:01::
het_1209_14 outline%1:09:00:: sine%1:24:00::
het_1212_2 capacitor%1:06:00:: volt%1:23:00::
het_1213_14 connive%2:31:00:: meddle%2:41:00::
het_1214_15 scale%1:24:00:: wail%1:10:00::
het_1215_9 scale%1:24:00:: pail%1:06:00::
het_1216_10 weak%5:00:00:perceptible:00 chic%1:07:00::
het_1217_9 fall%2:30:11:: filling%1:13:00::
het_1219_17 view%2:31:00:: urdu%1:10:00::
het_1221_11 measurable%3:00:00:: weakly%5:00:00:frail:00
het_1222_3 mess%1:23:00:: mint%1:23:00::
het_1225_9 posture%2:41:00:: macho%1:18:00::
het_1226_10 decrease%1:07:00:: recede%2:38:01::
het_1227_16 work%2:30:10:: baht%1:23:00::
het_1228_7 form%2:30:05:: coax%2:32:00::
het_1229_18 flake%2:35:02:: crepe%1:27:02::
het_1232_16 larger%5:00:00:large:00 lion%1:05:00::
het_1237_26 constellation%1:09:00:: constipation%1:26:00::
het_1238_2 lie%2:38:00:: truth%1:07:01::
het_1239_9 chord%2:36:00:: board%1:06:00::
het_1241_8 greatly%4:02:00:: grieve%2:37:00::
het_1242_12 depressingly%4:02:00:: mundanely%4:02:01::
het_1244_15 die%2:35:00:: father%1:18:04::
het_1248_16 difference%1:11:00:: due%5:00:00:attributable:00
het_1249_11 system%1:06:00:: algorithm%1:09:00::
het_1250_12 evilly%4:02:00:: naughtily%4:02:00::
het_1251_12 bead%2:42:00:: sequin%1:06:00::
het_1254_31 mite%1:23:00:: splice%2:41:00::
het_1255_17 air%1:10:01:: boar%1:05:02::
het_1259_17 scam%1:04:00:: lam%1:04:00::
het_1260_12 settle%2:30:05:: temple%1:06:01::
het_1261_17 form%2:30:05:: vein%1:08:00::
het_1262_5 variable%1:09:00:: caret%1:10:00::
het_1264_3 buy%2:40:00:: cosign%2:41:00::
het_1265_13 solace%2:37:00:: lama%1:18:00::
het_1266_10 beat%2:41:03:: suite%1:06:00::
het_1268_5 mortal%3:00:00:: sin%1:04:00::
het_1271_11 flake%2:35:02:: brake%2:38:01::
het_1273_8 cover%2:32:00:: czech%1:18:00::
het_1275_10 lunar%3:01:00:: rumor%1:10:00::
het_1276_15 rhyme%1:10:01:: verse%1:10:02::
het_1282_11 twist%2:35:02:: wry%5:00:00:humorous:00
het_1283_16 king%1:18:04:: hamstring%1:08:00::
het_1285_9 efficiency%1:24:00:: busily%4:02:00::
het_1286_10 weak%5:00:00:perceptible:00 chic%1:07:00::
het_1287_9 nip%1:23:00:: grippe%1:26:00::
het_1289_16 point%2:30:00:: print%1:10:01::
het_1290_12 harp%2:36:00:: rue%2:37:00::
het_1291_13 pop%2:38:00:: cox%1:27:00::
het_1292_15 sham%2:36:00:: wane%2:30:02::
het_1295_12 pole%1:23:01:: hole%1:06:00::
het_1296_15 music%1:10:00:: gluten%1:13:00::
het_1297_18 take_on%2:41:01:: khan%1:18:00::
het_1298_6 con%2:41:00:: psalms%1:10:00::
het_1299_12 bead%2:42:00:: bait%2:32:00::
het_1301_12 forte%1:07:00:: heart%1:08:00::
het_1302_16 article%1:10:02:: porpoise%1:05:00::
het_1304_18 tabour%1:06:00:: catarrh%1:26:00::
het_1310_12 work%2:30:10:: truss%1:06:01::
het_1311_4 bead%2:42:00:: knead%2:35:00::
het_1312_8 dissemble%2:36:00:: mendel%1:18:00::
het_1316_4 beat%2:41:03:: wheat%1:20:00::
het_1317_24 refine%2:30:03:: isis%1:18:00::
het_1319_10 intensity%1:07:02:: rapidly%4:02:00::
het_1322_11 bigger%5:00:00:large:00 meaty%5:00:00:meaningful:00
het_1327_15 intensity%1:07:02:: offensively%4:02:02::
het_1328_14 lettered%5:00:00:educated:00 mutter%2:32:00::
het_1329_8 pack%1:23:00:: pique%1:12:00::
het_1330_2 bear%2:40:02:: heir%1:18:00::
het_1331_16 spot%1:23:00:: berth%1:04:00::
het_1332_14 preference%1:07:00:: alp%1:17:00::
het_1335_6 concur%2:32:00:: reword%2:32:00::
het_1336_9 atomic%5:00:00:small:00 fission%1:22:00::
het_1339_9 run%2:30:03:: son%1:18:01::
het_1340_8 touchstone%1:10:00:: throne%1:06:01::
het_1342_16 supply%2:40:00:: amply%4:02:00::
het_1345_11 dark%5:00:00:evil:00 mist%1:19:00::
het_1346_10 ballot%1:04:00:: haddock%1:13:00::
het_1347_8 flake%2:35:02:: fake%1:06:00::
het_1349_8 great%5:00:01:large:00 magnate%1:18:00::
het_1353_8 line%1:10:03:: lan%1:06:00::
het_1354_5 dimension%1:07:01:: superfluous%5:00:00:unnecessary:00
het_1356_10 blase%5:00:00:unconcerned:00 sunday%1:28:00::
het_1359_6 great%5:00:01:large:00 magnate%1:18:00::
het_1360_1 mortal%3:00:00:: sin%1:04:00::
het_1361_13 indifferent%5:00:00:unconcerned:00 callous%2:30:00::
het_1362_20 outline%1:09:00:: mine%1:06:01::
het_1363_9 seek%2:41:00:: clamor%2:32:00::
het_1365_14 sprinkling%1:23:00:: spray%1:27:00::
het_1368_13 scam%1:04:00:: phony%1:18:00::
het_1369_11 table%1:14:01:: navel%1:08:00::
het_1371_6 care%1:04:02:: lair%1:15:00::
het_1372_8 nip%1:23:00:: ship%1:06:00::
het_1378_17 go%2:30:04:: boldly%4:02:00::
het_1379_11 hard%5:00:00:strong:00 doggedly%4:02:00::
het_1380_7 situation%1:04:00:: reign%1:28:01::
het_1381_15 post%1:04:00:: ghost%1:18:00::
het_1382_12 table%1:14:01:: billiards%1:04:00::
het_1384_18 hawking%1:18:00:: vend%2:40:00::
het_1385_12 disdainfully%4:02:02:: caustically%4:02:00::
het_1386_5 based%5:00:00:settled:01 boss%2:35:00::
het_1387_16 clump%2:35:00:: herb%1:20:00::
het_1388_8 piece%1:10:01:: braid%1:08:00::
het_1389_12 action%1:22:00:: infraction%1:04:00::
het_1390_18 criterion%1:10:00:: aria%1:10:00::
het_1391_5 initiate%1:18:02:: launch%2:35:04::
het_1392_11 bead%2:42:00:: cord%1:06:00::
het_1393_14 rhyme%1:10:01:: verse%1:10:02::
het_1394_8 deep%5:00:00:large:00 waist%1:06:00::
het_1395_11 assume%2:40:01:: bloom%1:20:00::
het_1396_8 physician%1:18:00:: coroner%1:18:00::
het_1399_12 recognise%2:32:01:: professed%5:00:00:professional:01
het_1401_9 tons%1:23:00:: weigh%2:42:04::
het_1402_8 bear%2:40:02:: urn%1:06:01::
het_1403_10 accept%2:40:01:: agreed%5:00:00:united:00
het_1406_20 charge%2:38:01:: tax%2:40:01::
het_1412_8 shorten%2:30:00:: margarine%1:13:00::
het_1414_18 stack%1:23:00:: flue%1:06:00::
het_1416_11 philistine%1:18:00:: jean%1:06:03::
het_1418_76 be%2:42:03:: marquis%1:18:00::
het_1419_7 flock%1:23:00:: poultry%1:05:00::
het_1420_11 efficiency%1:24:00:: willfully%4:02:00::
het_1421_18 pitch%1:07:00:: turf%1:17:00::
het_1422_17 stock%1:21:00:: bach%1:18:00::
het_1423_23 make%2:36:00:: maid%1:18:01::
het_1425_13 charge%2:38:01:: chard%1:20:00::
het_1427_15 beat%2:41:03:: suite%1:10:00::
het_1428_18 great%5:00:01:large:00 greeter%1:18:00::
het_1429_12 area%1:15:01:: haven%1:15:00::
het_1431_16 still%2:37:01:: finally%4:02:00::
het_1433_11 justly%4:02:01:: bountifully%4:02:00::
het_1434_13 poem%1:10:00:: in_vain%4:02:00::
het_1435_7 locate%2:30:00:: propane%1:27:00::
het_1436_12 strategy%1:09:00:: callously%4:02:00::
het_1437_10 impressive%3:00:00:: impressively%4:02:00::
het_1438_5 tell%2:32:04:: till%1:27:00::
het_1441_19 lie%2:38:00:: neigh%2:32:00::
het_1442_14 plight%2:32:00:: limelight%1:06:00::
het_1443_8 great%5:00:01:large:00 hate%1:12:00::
het_1444_9 roll%2:30:06:: reel%1:06:02::
het_1446_7 lots%1:23:00:: auction%1:04:00::
het_1447_13 deal%1:23:00:: heel%1:06:00::
het_1449_11 simply%4:02:03:: sole%1:06:00::
het_1450_14 assess%2:31:01:: abscessed%5:00:00:septic:00
het_1453_8 tone%1:10:02:: tuna%1:05:01::
het_1454_8 degree%1:07:01:: delete%2:35:00::
het_1456_8 grain%2:30:01:: gruel%1:13:00::
het_1457_27 droop%2:38:00:: fruiting%5:00:00:mature:01
het_1458_7 mean%1:09:00:: figuratively%4:02:00::
het_1459_8 tide%1:11:01:: golf%1:04:00::
het_1461_18 size%2:30:00:: evenly%4:02:00::
het_1463_10 great%5:00:01:large:00 eight%1:06:00::
het_1466_16 turn%2:35:11:: rabbit%1:05:00::
het_1467_10 chord%2:36:00:: bored%5:00:00:tired:00
het_1468_10 short%3:00:03:: testy%5:00:00:ill-natured:00
het_1469_13 deep%5:00:00:large:00 leaper%1:18:00::
het_1470_14 implicate%2:42:01:: insulate%2:30:00::
het_1473_6 settle%2:30:05:: pillaging%1:04:00::
het_1474_9 lie%2:38:00:: cabernet%1:13:00::
het_1475_7 scale%1:24:00:: hail%2:42:00::
het_1476_7 rational%3:01:00:: frictional%3:01:00::
het_1477_11 ardently%4:02:00:: uncertainly%4:02:01::
het_1479_10 form%2:30:05:: vein%1:08:00::
het_1481_12 symmetrically%4:02:00:: satirically%4:02:00::
het_1484_13 turn%2:35:11:: mourning%1:26:00::
het_1486_35 scintilla%1:23:00:: guerrilla%1:18:00::
het_1487_11 dark%5:00:00:evil:00 mist%1:19:00::
het_1489_56 slender%5:00:00:small:00 toque%1:06:01::
het_1490_15 pop%2:38:00:: lox%1:27:00::
het_1491_13 acknowledged%3:00:00:: openly%4:02:00::
het_1492_2 jazz%1:10:00:: soul%1:03:00::
het_1494_11 hospitable%3:00:02:: hospitably%4:02:00::
het_1495_30 be%2:42:03:: damn%2:32:00::
het_1497_16 sense%1:09:06:: snobbery%1:07:00::
het_1499_10 draw%2:30:00:: gauze%1:06:00::
het_1500_10 rate%1:24:00:: wage%1:21:00::
het_1503_12 presuppose%2:31:01:: principal%1:18:03::
het_1504_30 mint%1:23:00:: tarragon%1:20:00::
het_1505_5 scam%1:04:00:: yam%1:20:00::
het_1506_9 try%2:41:00:: wade%2:38:00::
het_1508_13 strongly%4:02:01:: bitterly%4:02:00::
het_1509_8 set%1:14:02:: ethernet%1:06:00::
het_1510_13 stretch%2:38:00:: hedge%2:32:00::
het_1511_10 degree%1:07:01:: stampede%1:04:00::
het_1512_15 bit%1:23:01:: wick%1:06:00::
het_1514_17 house_of_cards%1:09:00:: kurd%1:18:00::
het_1515_22 dimension%1:07:01:: constellation%1:09:00::
het_1518_12 sense%1:09:06:: scent%1:07:00::
het_1519_8 puny%5:00:00:small:00 weak%3:00:00::
het_1524_2 view%2:31:00:: pew%1:06:00::
het_1525_3 shot%1:23:00:: engraved%5:00:00:carved:00
het_1526_13 rome%1:14:00:: loam%1:27:00::
het_1527_16 stiffly%4:02:00:: haltingly%4:02:00::
het_1528_15 lie%2:38:00:: latte%1:13:00::
het_1530_5 run%2:30:03:: son%1:18:00::
het_1531_19 chisel%2:41:01:: prism%1:06:00::
het_1538_14 gradient%1:24:00:: radiantly%4:02:00::
het_1542_14 few%3:00:00:: rarely%4:02:00::
het_1544_9 charge%2:38:01:: acquit%2:41:00::
het_1545_6 bear%2:40:02:: bazaar%1:04:00::
het_1546_37 bear%2:40:02:: moor%2:35:01::
het_1547_7 sixth%1:23:00:: fourth%5:00:00:ordinal:00
het_1549_16 rhetorically%4:02:00:: adoringly%4:02:00::
het_1553_10 pitch%1:07:00:: perch%1:06:00::
het_1554_8 extraordinary%3:00:00:: visionary%5:00:00:utopian:00
het_1556_7 flock%1:23:00:: sheep%1:05:00::
het_1557_22 toggle%1:06:01:: waffle%2:42:00::
het_1558_26 bear%2:40:02:: ore%1:27:00::
het_1560_9 insist%2:31:00:: insinuate%2:38:00::
het_1561_7 bear%2:40:02:: shear%1:19:00::
het_1563_11 granulate%2:30:01:: translate%2:38:04::
het_1566_9 great%5:00:01:large:00 grate%1:06:00::
het_1569_14 lie%2:38:00:: dye%1:27:00::
het_1575_11 ukulele%1:06:00:: gravely%4:02:00::
het_1576_6 express%2:32:00:: exorcise%2:35:00::
het_1578_6 accept%2:40:01:: wholeheartedly%4:02:00::
het_1579_15 mile%1:23:07:: male%1:18:00::
het_1580_7 lank%5:00:00:long:01 franc%1:23:00::
het_1581_3 finite%3:00:00:: sum%1:09:01::
het_1582_15 high%3:00:03:: elementary%5:00:00:easy:01
het_1583_12 display%2:39:00:: spectacle%1:10:00::
het_1587_9 turn%2:35:11:: mourning%1:26:00::
het_1588_12 jazz%1:10:00:: tenderly%4:02:00::
het_1589_9 rate%1:24:00:: wage%1:21:00::
het_1590_15 oddly%4:02:00:: oddly%4:02:00::
het_1594_21 quite%4:02:03:: swimmingly%4:02:00::
het_1597_29 vector%1:09:00:: lessor%1:18:00::
het_1598_7 nose%1:23:00:: neck%1:08:00::
het_1599_20 present%2:32:03:: occident%1:15:00::
het_1600_16 guitar%1:06:00:: caw%1:11:00::
het_1602_14 tons%1:23:00:: weight%1:06:00::
het_1604_19 committee%1:14:00:: pipal%1:20:00::
het_1605_9 splendidly%4:02:00:: engagingly%4:02:00::
het_1606_17 fix%2:32:03:: fuchsia%1:20:00::
het_1608_6 refine%2:30:03:: whine%2:38:00::
het_1610_10 spill%2:35:01:: kilt%1:06:00::
het_1611_10 bear%2:40:02:: err%2:31:00::
het_1612_15 ship%1:06:00:: hull%1:06:00::
het_1613_8 speed%1:28:00:: spade%1:06:01::
het_1614_16 seize%2:40:07:: caesar%1:18:00::
het_1616_15 outline%1:09:00:: wine%1:13:00::
het_1617_9 cover%2:32:00:: czech%3:01:00::
het_1624_8 flag%2:38:01:: symbol%1:10:00::
het_1625_16 tall%3:00:00:: collar%1:06:00::
het_1626_6 perch%1:23:01:: sturgeon%1:05:00::
het_1627_14 efficiency%1:24:00:: wistfully%4:02:00::
het_1629_12 stick%2:31:00:: puck%1:06:00::
het_1630_12 mime%1:18:00:: grime%2:35:00::
het_1631_19 slyly%4:02:00:: cannily%4:02:00::
het_1633_5 touchstone%1:10:00:: throne%1:06:01::
het_1634_20 alien%1:18:02:: galleon%1:06:00::
het_1635_34 display%2:39:00:: pane%1:06:01::
het_1636_14 zoanthropy%1:26:00:: dolefully%4:02:00::
het_1637_8 pose%2:41:00:: pea%1:20:02::
het_1638_8 pose%2:41:00:: pea%1:20:02::
het_1639_11 dinky%5:00:00:small:00 dinghy%1:06:00::
het_1640_12 go%2:30:04:: write%2:36:00::
het_1642_14 present%2:32:03:: presently%4:02:00::
het_1643_10 presume%2:31:00:: presence%1:26:00::
het_1644_9 increase%1:11:00:: lease%1:21:00::
het_1645_7 gauge%2:31:00:: sage%1:18:00::
het_1647_12 unpleasant%3:00:00:: odor%1:07:00::
het_1648_16 scale%1:24:00:: tier%1:26:00::
het_1651_10 draw%2:30:00:: protractor%1:06:00::
het_1653_13 dark%5:00:00:evil:00 mist%2:39:00::
het_1654_12 bear%2:40:02:: tier%1:26:00::
het_1656_14 outline%1:09:00:: sine%1:24:00::
