het_1_14	allege%2:32:00::	distribute%2:40:00::
het_804_11	pail%1:23:00::	trail%2:35:03::
het_805_11	metrical_foot%1:10:00::	stage_set%1:06:00::
het_806_15	boringly%4:02:00::	jokingly%4:02:00::
het_807_11	pregnancy%1:26:00::	eternity%1:28:01::
het_810_11	census%2:32:00::	consul%1:18:00::
het_813_9	passion%1:12:02::	delegate%2:41:00::
het_814_19	torte%1:13:00::	forte%4:02:00::
het_815_17	ovum%1:08:00::	ellipse%1:25:00::
het_818_9	leek%1:20:00::	satiny%5:00:00:bright:00
het_821_25	solution%1:14:00::	putrefaction%1:26:00::
het_822_11	pigment%2:30:00::	ailment%1:26:00::
het_824_10	laconically%4:02:00::	drill%1:06:00::
het_825_12	plaque%1:08:00::	plague%1:26:01::
het_826_10	libel%1:10:01::	globe%1:06:00::
het_827_31	meet%2:42:00::	kernel%1:20:02::
het_828_7	pint%1:23:01::	pine%1:20:02::
het_830_10	stonily%4:02:00::	rocky%5:00:00:rough:00
het_832_1	pray%2:32:00::	grey%1:05:00::
het_834_20	whine%2:39:00::	woodwaxen%1:20:00::
het_837_14	common_wormwood%1:20:00::	absentee%1:18:00::
het_840_19	krill%1:05:00::	frill%1:06:00::
het_843_24	mist%1:19:00::	damp%5:00:00:wet:01
het_844_16	stoma%1:20:01::	ore%1:23:00::
het_847_19	queerly%4:02:01::	odd%5:00:00:mismatched:00
het_848_12	reed%1:06:01::	religious_doctrine%1:10:00::
het_849_13	reign%1:26:00::	rein%2:38:01::
het_851_8	secant%1:24:00::	sect%1:14:01::
het_852_4	calloused%5:00:00:tough:02	parlous%5:00:00:dangerous:00
het_854_21	penny%1:21:00::	scent%1:09:00::
het_855_20	simile%1:10:00::	smile%2:32:00::
het_859_12	swear%2:32:00::	sore%1:26:00::
het_861_9	crevice%1:25:00::	crevice%1:25:00::
het_863_5	display_panel%1:06:00::	caparison%2:36:00::
het_864_13	assent%1:10:00::	insist%2:31:00::
het_867_13	nastily%4:02:00::	manly%3:00:00::
het_870_14	adz%1:06:00::	adit%1:06:00::
het_871_19	mane%1:08:01::	cane%2:35:00::
het_872_18	pacific%5:00:02:peaceful:00	pacify%2:36:00::
het_874_9	ironic%5:00:00:incongruous:00	iconic%3:01:00::
het_875_5	eagle%1:21:00::	beagle%1:05:00::
het_877_12	launch%2:35:02::	touch%1:23:00::
het_881_5	waist%1:08:00::	wait%2:41:00::
het_882_10	deer%1:05:00::	actor%1:18:01::
het_883_19	loin%1:13:00::	loon%1:18:00::
het_885_12	smell%1:09:02::	doorway%1:06:00::
het_886_8	patient%1:18:00::	patent%2:41:00::
het_887_9	assent%1:10:00::	absent%3:00:00::
het_888_10	tooth%1:06:02::	loath%5:00:00:unwilling:00
het_889_8	intelligibly%4:02:00::	cleanly%4:02:02::
het_890_9	coo%1:11:00::	doorway%1:06:00::
het_893_13	tellingly%4:02:00::	tell%2:32:01::
het_895_14	position%1:09:01::	pasture%1:15:00::
het_898_18	knight%1:06:00::	wright%1:18:00::
het_900_19	two%1:23:00::	excessively%4:02:00::
het_901_17	private_detective%1:18:00::	pivot%1:06:00::
het_902_5	shellfish%1:13:00::	shelf%1:06:00::
het_903_19	holey%5:00:00:leaky:00	honey%1:13:00::
het_905_21	minstrel%1:18:01::	tinsel%2:40:00::
het_907_8	morel%1:20:00::	moral%1:10:00::
het_908_8	fabrication%1:04:01::	avowal%1:10:00::
het_909_9	role%1:04:01::	reeve%2:35:00::
het_911_14	yaw%2:38:00::	sensitive%5:00:00:painful:00
het_913_11	graph%2:36:01::	grapeshot%1:06:00::
het_914_7	prayer%1:10:01::	player%1:18:03::
het_915_13	metrical_foot%1:10:00::	celebrate%2:41:00::
het_920_7	spree%2:34:00::	shred%2:35:00::
het_921_9	steppe%1:17:00::	stupid%1:18:00::
het_922_6	devoutly%4:02:00::	pious%3:00:00::
het_923_13	wildly%4:02:01::	wifely%3:00:00::
het_924_6	coral%5:00:00:chromatic:00	cow_pen%1:06:00::
het_926_14	caustically%4:02:00::	radically%4:02:00::
het_929_5	trip_up%2:31:00::	peer%1:18:00::
het_930_7	beet%1:20:00::	beget%2:29:00::
het_933_5	lichen%1:20:00::	spleen%1:08:00::
het_934_8	impishly%4:02:00::	arch%5:00:00:playful:00
het_935_14	thinly%4:02:01::	rightly%4:02:00::
het_937_8	indenture%1:10:01::	incentive%1:16:00::
het_940_10	pigment%2:30:00::	ailment%1:26:00::
het_943_16	dye%1:27:00::	due%1:21:00::
het_944_30	hear%2:39:01::	read/write_head%1:06:00::
het_945_7	compact_disk%1:06:00::	deoxyadenosine_monophosphate%1:27:00::
het_948_9	right%5:00:00:satisfactory:00	correctly%4:02:01::
het_949_22	gamboge%1:07:00::	touch%1:23:00::
het_950_8	lye%1:27:00::	lie_down%2:38:00::
het_951_1	pray%2:32:00::	trace%2:35:00::
het_952_17	quaveringly%4:02:00::	shaking%1:26:00::
het_953_9	undress%2:29:00::	spirit%1:26:00::
het_954_9	ironic%5:00:00:incongruous:00	iconic%3:01:00::
het_956_4	dye%2:30:00::	sidereal_day%1:28:00::
het_958_28	gneiss%1:27:00::	cape%1:17:00::
het_964_7	waist%1:08:00::	tease%2:32:00::
het_969_9	duel%2:33:00::	due%1:21:00::
het_971_20	casual%5:00:00:careless:00	bursary%1:21:00::
het_973_16	sawhorse%1:06:00::	gruff%5:00:00:cacophonous:00
het_974_19	sea%1:17:00::	sexual_activity%1:04:00::
het_977_10	feat%1:04:00::	flat%5:00:00:unmodulated:00
het_978_17	basically%4:02:00::	radically%4:02:00::
het_980_11	hypocrite%1:18:00::	shot_glass%1:06:00::
het_981_9	obviously%4:02:00::	anciently%4:02:00::
het_982_15	brush%1:14:00::	coarse%5:00:00:inferior:02
het_983_9	look%2:39:01::	look%2:39:01::
het_984_12	meet%2:34:00::	will%1:10:00::
het_985_10	corporation%1:14:00::	corn_whiskey%1:13:00::
het_986_14	poster%1:10:00::	doorbell%1:06:00::
het_987_15	clove%1:13:01::	cove%1:17:02::
het_990_6	dogmatize%2:32:00::	normalize%2:30:01::
het_991_12	afoul%5:00:00:tangled:00	foul%2:33:00::
het_992_10	balmy%5:00:00:insane:00	catty%1:23:00::
het_993_24	wit%1:10:00::	paroxysm%1:26:00::
het_997_10	phlegmatically%4:02:00::	phlegmatic%5:00:00:unemotional:00
het_998_11	barn%1:23:00::	warn%2:32:02::
het_1001_17	punishment%1:04:00::	nutriment%1:13:00::
het_1002_14	weakly%4:02:01::	weekly%1:10:00::
het_1004_7	porpoise%1:05:00::	tortoise%1:05:00::
het_1005_19	ladle%2:35:00::	load%2:35:01::
het_1006_13	relatively%4:02:00::	lively%5:00:00:eventful:00
het_1007_13	seasoning%1:04:00::	reason%2:31:01::
het_1008_14	miniature%1:06:02::	plication%1:04:00::
het_1012_22	rise%1:11:02::	assent%1:10:00::
het_1014_16	backup%1:06:00::	binding%1:06:00::
het_1016_15	pedal_point%1:10:00::	penal%5:00:00:illegal:00
het_1017_13	swiftly%4:02:00::	silly%1:18:00::
het_1018_74	lynx%1:10:00::	lone%5:00:00:single:05
het_1019_12	checker%2:30:00::	checkers%1:04:00::
het_1020_12	coffin%2:35:00::	coffer%1:06:00::
het_1021_14	ruefully%4:02:00::	contrite%5:00:00:penitent:00
het_1022_13	forth%1:17:00::	garrison%1:06:00::
het_1024_9	notably%4:02:00::	luminary%1:18:00::
het_1026_10	chord%1:10:00::	chord%1:10:00::
het_1027_10	coupe%1:06:00::	coup_d'etat%1:04:00::
het_1028_14	one%1:23:00::	ease%1:26:01::
het_1029_9	spatial%3:01:00::	special%5:00:00:specialized:00
het_1030_10	sheer%4:02:01::	shininess%1:07:00::
het_1031_14	let%2:41:00::	sallow%2:30:00::
het_1032_12	think%2:31:03::	semblance%1:07:00::
het_1033_17	assay%1:04:00::	essay%1:04:00::
het_1034_7	blankly%4:02:00::	blindly%4:02:01::
het_1035_11	liquidation%1:04:00::	restriction%1:09:00::
het_1036_22	bee%1:14:00::	bye%1:10:01::
het_1037_11	fluently%4:02:00::	fluency%1:07:01::
het_1043_45	sell%2:40:02::	doorbell%1:06:00::
het_1045_17	expectorate%2:29:00::	electorate%1:14:00::
het_1046_11	loudly%4:02:00::	album%1:06:00::
het_1048_9	floor%1:06:01::	stormy%5:00:00:unpeaceful:00
het_1049_6	write%2:36:10::	rote%1:09:00::
het_1050_10	mitten%1:06:00::	smite%2:35:00::
het_1052_12	watt%1:23:00::	wart%1:07:00::
het_1053_15	awl%1:06:00::	trouble%2:29:00::
het_1054_17	metallic%3:00:00::	meal%1:13:01::
het_1055_20	private_detective%1:18:00::	postscript%1:10:00::
het_1056_17	cargo%1:06:00::	fear%1:12:00::
het_1057_9	morel%1:20:00::	hotel%1:06:00::
het_1061_13	crudely%4:02:00::	primness%1:07:01::
het_1062_9	private_detective%1:18:00::	postscript%1:10:00::
het_1063_14	pudding%1:13:02::	tug%2:41:00::
het_1065_33	kernel%1:20:01::	kennel%2:41:00::
het_1066_22	tenor%5:00:02:high:03	senor%1:10:00::
het_1067_19	whistle%2:32:01::	sting%2:35:01::
het_1070_16	forth%1:17:00::	wedge%2:35:00::
het_1071_10	census%2:32:00::	consul%1:18:00::
het_1074_37	staphylococcus%1:05:00::	star_topology%1:09:00::
het_1076_8	carbon_black%1:27:00::	touch%1:26:00::
het_1077_16	byte%1:23:00::	bye%1:10:01::
het_1078_9	irrigation%1:04:01::	inspiration%1:04:01::
het_1079_9	waist%1:08:00::	wait%2:41:00::
het_1080_15	engels%1:18:00::	angelus_bell%1:11:00::
het_1082_14	ache%2:37:06::	vertex%1:15:00::
het_1084_15	pain%1:18:00::	cain%1:18:00::
het_1085_11	marx%1:18:00::	ear%1:20:00::
het_1086_9	contraction%1:10:00::	structure%1:06:00::
het_1089_14	ruefully%4:02:00::	contrite%5:00:00:penitent:00
het_1090_9	inca%1:18:00::	ana%1:14:00::
het_1094_8	whine%2:39:00::	woodwaxen%1:20:00::
het_1095_10	coo%1:11:00::	black-backed_gull%1:05:00::
het_1096_16	groan%2:32:00::	grout%1:27:00::
het_1098_13	lumbar%3:01:00::	lumber%2:38:00::
het_1099_13	tidal_bore%1:11:00::	effect%1:10:00::
het_1101_11	warship%1:06:00::	worship%1:12:01::
het_1103_36	presence%1:04:00::	preserve%1:15:00::
het_1104_23	hobbit%1:18:00::	bobbin%1:06:00::
het_1105_12	barbarously%4:02:00::	barbarous%5:00:00:noncivilized:00
het_1109_5	flour%1:13:00::	lout%1:18:00::
het_1110_18	bin%1:23:00::	indium%1:27:00::
het_1112_8	phrase%1:04:00::	furrow%2:35:02::
het_1114_16	kernel%1:20:01::	fennel%1:13:00::
het_1115_10	graph%2:36:01::	grok%2:31:00::
het_1116_5	roundly%4:02:00::	roughly%4:02:02::
het_1117_10	butte%1:15:00::	target%1:06:00::
het_1122_13	brie%1:13:00::	bridget%1:18:00::
het_1123_12	udder%1:05:00::	shake%2:29:00::
het_1126_8	understand%2:31:02::	inner%5:00:00:exclusive:00
het_1128_10	brake%2:38:01::	brave%1:18:00::
het_1129_5	stanza%1:10:00::	stand%2:42:01::
het_1130_11	finn%1:18:00::	genie%1:18:00::
het_1132_8	spread%1:13:00::	hurry%1:26:00::
het_1133_19	gesture%1:04:00::	venture%1:04:01::
het_1134_15	suede_cloth%1:06:00::	surely%4:02:00::
het_1137_8	abominable_snowman%1:18:00::	so_far%4:02:01::
het_1140_15	agree%2:32:01::	tree%2:30:00::
het_1141_22	sine%1:24:00::	pine%1:20:00::
het_1142_14	organically%4:02:02::	radically%4:02:00::
het_1143_13	flea%1:05:00::	supplication%1:10:01::
het_1144_19	jester%1:18:00::	fester%1:26:00::
het_1148_14	sole%2:30:00::	blackthorn%1:20:02::
het_1150_7	mail%1:06:01::	main%1:06:00::
het_1152_21	wholly%4:02:00::	whore%2:35:00::
het_1156_9	testily%4:02:00::	testify%2:32:01::
het_1157_13	blare%1:11:00::	claymore%1:06:01::
het_1159_11	curiously%4:02:01::	carouse%1:04:00::
het_1160_9	summarily%4:02:00::	summarize%2:42:00::
het_1167_10	sword%1:06:00::	turf%1:17:00::
het_1168_13	raisin%1:13:00::	raising%1:07:00::
het_1171_9	mouton%1:13:00::	motto%1:10:00::
het_1173_9	hare%2:38:00::	harem%1:06:00::
het_1174_10	resignedly%4:02:00::	intentionally%4:02:00::
het_1175_35	stationery%1:10:00::	repletion%1:26:00::
het_1176_11	appreciatively%4:02:00::	admiration%1:04:00::
het_1177_20	verse%1:10:00::	hymen%1:08:00::
het_1180_14	whine%2:39:00::	shine%2:43:00::
het_1181_8	movingly%4:02:00::	jokingly%4:02:00::
het_1183_16	fondly%4:02:00::	love%2:37:00::
het_1184_11	tactic%1:09:00::	marauder%1:18:00::
het_1185_9	bazaar%1:04:00::	hold%2:35:02::
het_1190_10	callously%4:02:00::	calloused%5:00:00:tough:02
het_1193_15	bee%1:14:00::	breed%2:35:00::
het_1194_15	granite%1:07:00::	granitic%5:00:00:hard:01
het_1195_17	humerus%1:08:00::	humorous%3:00:00::
het_1197_9	yeast%1:27:00::	ease%1:26:01::
het_1199_9	peace%1:10:00::	quickly%4:02:00::
het_1200_15	wax%2:30:01::	waxen%5:00:00:colorless:02
het_1201_7	series%1:10:00::	stria%1:25:00::
het_1203_5	steal%2:33:00::	sword%1:06:00::
het_1204_14	allusion%1:10:00::	magic_trick%1:04:00::
het_1205_18	adipose%5:00:00:fatty:00	dispose%2:35:00::
het_1206_13	pecan%1:20:02::	paean%1:10:01::
het_1207_26	clause%1:10:00::	lawsuit%1:04:00::
het_1209_14	sine%1:24:00::	pine%1:20:00::
het_1213_14	meddle%2:41:00::	meade%1:18:00::
het_1214_15	lament%1:10:02::	tail%1:06:02::
het_1215_9	pail%1:23:00::	trouble%2:29:00::
het_1216_10	chic%5:00:00:stylish:00	chit%1:18:00::
het_1217_9	meet%2:34:00::	volition%1:04:00::
het_1219_17	urdu%1:10:00::	mrs%1:10:00::
het_1221_11	weakly%4:02:01::	wake%1:04:00::
het_1222_3	mint%1:06:00::	paroxysm%1:26:00::
het_1225_9	macho%1:18:00::	ache%2:37:06::
het_1226_10	withdraw%2:38:00::	secede%2:41:00::
het_1227_16	baht%1:23:00::	tease%2:32:00::
het_1228_7	coaxial_cable%1:06:00::	ember%1:17:00::
het_1229_18	crepe%1:06:00::	creep%2:38:06::
het_1232_16	lion%1:18:00::	loon%1:18:00::
het_1237_26	constipation%1:26:00::	constipation%1:26:00::
het_1238_2	truth%1:18:00::	truth%1:18:00::
het_1239_9	display_panel%1:06:00::	wide%3:00:00::
het_1241_8	grieve%2:37:01::	drivel%1:10:00::
het_1242_12	mundanely%4:02:00::	mundane%5:00:00:earthly:00
het_1243_5	cellular_telephone%1:06:00::	doorbell%1:06:00::
het_1244_15	founder%1:18:00::	zither%1:06:00::
het_1248_16	due%1:21:00::	hue%1:07:00::
het_1249_11	algorithm%1:09:00::	allopathy%1:04:00::
het_1250_12	badly%4:02:05::	naughty%5:00:00:bad:00
het_1251_12	sequin%1:06:00::	sequel%1:10:00::
het_1254_31	splice%1:06:01::	spice%1:13:00::
het_1255_17	wild_boar%1:05:00::	hold%2:35:02::
het_1259_17	thrash%2:35:00::	fad%1:09:00::
het_1260_12	temple%1:06:00::	pimple%1:26:00::
het_1261_17	vein%2:36:00::	rein%2:38:01::
het_1262_5	caret%1:10:00::	care%1:12:00::
het_1264_3	cosign%2:32:00::	simulate%2:36:00::
het_1265_13	lama%1:18:00::	lemma%1:10:01::
het_1266_10	suite%1:14:01::	smite%2:35:00::
het_1268_5	sine%1:24:00::	indium%1:27:00::
het_1269_8	myth%1:10:00::	moth%1:05:00::
het_1271_11	brake%2:38:01::	brave%1:18:00::
het_1273_8	czechoslovakian%1:18:00::	sofa%1:06:00::
het_1275_10	rumor%1:10:00::	furor%1:04:00::
het_1276_15	verse%1:10:01::	verge%1:06:00::
het_1282_11	wry%5:00:00:crooked:01	wary%3:00:00::
het_1283_16	hamstring%2:29:00::	hat%2:40:00::
het_1285_9	busily%4:02:00::	champagne%1:13:00::
het_1286_10	chic%5:00:00:stylish:00	dame%1:18:00::
het_1287_9	influenza%1:26:00::	banal%5:00:01:unoriginal:00
het_1289_16	print%2:36:01::	rouge%1:06:00::
het_1290_12	rue%1:06:00::	true%5:00:00:legitimate:00
het_1291_13	coxswain%1:18:00::	liquid_oxygen%1:27:00::
het_1292_15	wide_area_network%1:06:00::	fan%2:35:01::
het_1295_12	hole%1:26:01::	keep%2:42:00::
het_1296_15	gluten%1:13:00::	lute%1:06:00::
het_1297_18	khan%1:18:00::	hired_hand%1:18:00::
het_1299_12	tease%2:32:00::	tease%2:32:00::
het_1301_12	heart%1:06:00::	read/write_head%1:06:00::
het_1302_16	porpoise%1:05:00::	tortoise%1:05:00::
het_1304_18	catarrh%1:26:00::	starch%1:27:01::
het_1310_12	truss%2:35:01::	brush%2:30:00::
het_1311_4	massage%2:35:00::	plead%2:32:01::
het_1312_8	mendel%1:18:00::	end%2:42:00::
het_1316_4	pale_yellow%1:07:00::	heating_system%1:06:00::
het_1317_24	directorate_for_inter-services_intelligence%1:14:00::	directorate_for_inter-services_intelligence%1:14:00::
het_1319_10	quickly%4:02:00::	celerity%1:07:00::
het_1322_11	meaty%3:00:00::	kernel%1:20:02::
het_1327_15	offensively%4:02:00::	dysphemistic%3:00:00::
het_1328_14	mutter%1:11:00::	matter%1:09:02::
het_1329_8	pique%1:12:00::	pile%2:35:03::
het_1330_2	successor%1:18:00::	heart%1:06:00::
het_1331_16	position%1:04:01::	birth%1:18:00::
het_1332_14	alp%1:17:00::	stave%1:06:00::
het_1335_6	paraphrase%2:32:00::	reputation%1:09:00::
het_1336_9	fission%1:22:00::	mission%1:04:02::
het_1339_9	son%1:18:01::	soon%4:02:00::
het_1340_8	toilet%1:06:01::	multitude%1:14:00::
het_1342_16	amply%4:02:01::	overstate%2:32:00::
het_1345_11	obscure%2:39:00::	tilt%1:07:00::
het_1346_10	haddock%1:05:00::	hemlock%1:20:02::
het_1347_8	juke%1:04:00::	fame%1:26:02::
het_1349_8	baron%1:18:01::	teammate%1:18:00::
het_1353_8	local_area_network%1:06:00::	sting%2:35:01::
het_1354_5	otiose%5:00:00:worthless:00	utility%1:07:00::
het_1356_10	sunday%1:28:00::	cheery%5:00:00:cheerful:00
het_1359_6	baron%1:18:01::	connate%5:00:00:related:02
het_1360_1	sine%1:24:00::	son%1:18:00::
het_1361_13	calloused%5:00:00:tough:02	gallows%1:06:00::
het_1362_20	mine%2:33:00::	pine%1:20:00::
het_1363_9	blare%1:11:00::	clamp%2:35:00::
het_1365_14	spray%2:35:03::	sprag%1:06:00::
het_1368_13	hypocrite%1:18:00::	shot_glass%1:06:00::
het_1369_11	navel%1:08:00::	gavel%1:06:00::
het_1371_6	lair%1:15:00::	fairly%4:02:00::
het_1372_8	ship%2:35:09::	shop_class%1:04:00::
het_1378_17	boldly%4:02:00::	coldly%4:02:00::
het_1379_11	doggedly%4:02:00::	dogged%5:00:00:stubborn:00
het_1380_7	reign%2:41:00::	ripe%5:00:00:mature:02
het_1381_15	touch%1:10:01::	dust%2:35:03::
het_1382_12	billiards%1:04:00::	pillar%1:18:00::
het_1384_18	peddle%2:40:00::	vent%1:06:01::
het_1385_12	caustically%4:02:00::	radically%4:02:00::
het_1386_5	party_boss%1:18:00::	bode%2:32:00::
het_1387_16	herb%1:20:00::	terminus%1:06:02::
het_1388_8	braid%2:35:00::	suppose%2:32:00::
het_1389_12	misdemeanor%1:04:00::	infarct%1:26:00::
het_1390_18	aria%1:10:00::	arid%5:00:00:dull:03
het_1391_5	launch%2:35:02::	nautch%1:04:00::
het_1392_11	cord%2:35:01::	corn_whiskey%1:13:00::
het_1393_14	verse%1:10:01::	vitality%1:07:01::
het_1394_8	waist%1:08:00::	wait%2:41:00::
het_1395_11	efflorescence%1:19:00::	boom%2:39:01::
het_1396_8	coroner%1:18:00::	rejoinder%1:10:00::
het_1399_12	profess%2:32:08::	wardrobe%1:06:00::
het_1401_9	weigh%2:42:01::	sled%2:38:00::
het_1402_8	urn%1:06:01::	tan%1:26:00::
het_1403_10	agree%2:32:01::	tree%2:30:00::
het_1406_20	tax%2:32:00::	lax%5:00:00:unconstipated:00
het_1412_8	margarine%1:13:00::	magazine%1:06:01::
het_1414_18	flue_pipe%1:06:00::	magnetic_field%1:19:00::
het_1416_11	denim%1:06:00::	wean%2:37:00::
het_1418_76	marquis%1:18:00::	bark%1:06:00::
het_1419_7	domestic_fowl%1:05:00::	pour%2:38:02::
het_1420_11	willfully%4:02:00::	wistfully%4:02:00::
het_1421_18	turf%2:35:00::	surfboard%2:38:00::
het_1422_17	bachelor%2:42:00::	teach%2:30:00::
het_1423_23	maid%1:18:00::	aid%1:21:00::
het_1425_13	chard%1:20:00::	charwoman%1:18:00::
het_1427_15	suite%1:14:01::	smite%2:35:00::
het_1428_18	greeter%1:18:00::	greater%3:00:00::
het_1429_12	seaport%1:15:00::	rich_person%1:18:00::
het_1431_16	ultimately%4:02:01::	normally%4:02:00::
het_1433_11	bountifully%4:02:00::	bountiful%5:00:00:fruitful:00
het_1434_13	conceited%5:00:00:proud:00	van%1:06:00::
het_1435_7	propane%1:27:00::	desecrate%2:41:00::
het_1436_12	callously%4:02:00::	calloused%5:00:00:tough:02
het_1437_10	impressively%4:02:00::	impressive%5:00:00:effective:00
het_1438_5	till%1:27:00::	nothing%1:23:00::
het_1441_19	neigh%2:32:00::	rebuff%1:04:00::
het_1442_14	limelight%1:06:00::	alight%2:38:00::
het_1443_8	hate%1:12:00::	rate%2:42:01::
het_1444_9	virginia_reel%1:04:00::	rise%2:42:00::
het_1446_7	auction%1:04:01::	suction%1:19:00::
het_1447_13	heel%2:30:00::	reel%2:35:00::
het_1449_11	sole%2:30:00::	blackthorn%1:20:02::
het_1450_14	abscessed%5:00:00:septic:00	abscess%1:26:00::
het_1453_8	tuna%1:05:03::	tuft%1:05:00::
het_1454_8	erase%2:32:00::	deceive%2:41:00::
het_1456_8	gruel%1:13:00::	park%1:15:01::
het_1457_27	fruiting%5:00:00:mature:01	hunt%2:38:05::
het_1458_7	figuratively%4:02:00::	figurative%3:00:00::
het_1459_8	golf%1:04:00::	gulf%1:17:00::
het_1461_18	evenly%4:02:00::	celestial%3:01:00::
het_1463_10	eight-spot%1:06:00::	right%5:00:00:satisfactory:00
het_1466_16	lapin%1:27:00::	scope%1:07:00::
het_1467_10	tidal_bore%1:11:00::	bore_bit%1:06:00::
het_1468_10	cranky%5:00:00:ill-natured:00	tasty%3:00:00::
het_1469_13	bounder%1:18:01::	laser%1:06:00::
het_1470_14	isolate%2:30:00::	insulating_material%1:27:00::
het_1474_9	cabernet%1:13:00::	cabaret%1:04:00::
het_1475_7	hail%2:42:00::	tail%1:06:02::
het_1476_7	frictional%3:01:00::	fractional%3:00:00::
het_1477_11	unsteadily%4:02:00::	uncertainty%1:07:00::
het_1479_10	vein%2:36:00::	conceited%5:00:00:proud:00
het_1481_12	satirically%4:02:00::	satirical%5:00:00:sarcastic:00
het_1484_13	mourning%1:26:00::	shape%2:36:00::
het_1486_35	guerrilla%1:18:00::	gorilla%1:05:00::
het_1487_11	mist%1:19:00::	damp%5:00:00:wet:01
het_1489_56	toque%1:06:01::	tone%2:29:00::
het_1490_15	liquid_oxygen%1:27:00::	lot%1:15:00::
het_1491_13	openly%4:02:00::	undoer%1:18:01::
het_1492_2	soul%1:10:00::	territory%1:15:01::
het_1494_11	hospitably%4:02:00::	hospitable%5:00:00:receptive:00
het_1495_30	damn%5:00:00:cursed:00	damp%1:26:00::
het_1497_16	snobbery%1:07:00::	drool%1:08:00::
het_1498_6	soul%1:10:00::	soup%2:29:00::
het_1499_10	gauze%1:06:00::	gaze%1:04:00::
het_1500_10	wage%1:21:00::	ramp%2:42:00::
het_1503_12	star%1:18:00::	principle%1:09:04::
het_1504_30	tarragon%1:13:00::	paragon%1:09:00::
het_1505_5	yam%1:20:00::	ham%1:18:01::
het_1506_9	wade%2:38:00::	ebb%1:22:01::
het_1508_13	bitterly%4:02:00::	recently%4:02:00::
het_1509_8	ethernet%1:06:00::	implicit_in%5:00:00:implicit:00
het_1510_13	hedge%2:35:00::	sedge%1:20:00::
het_1511_10	stampede%2:38:00::	starve%2:34:04::
het_1512_15	wick%1:06:00::	paddy%1:18:00::
het_1514_17	kurd%1:18:00::	surd%1:10:00::
het_1515_22	constellation%1:17:00::	consultation%1:10:01::
het_1518_12	scent%1:09:00::	penny%1:21:00::
het_1519_8	weak%5:00:00:stupid:00	peck%2:35:01::
het_1524_2	pew%1:06:00::	positron_emission_tomography%1:04:00::
het_1525_3	scratch%2:35:04::	unconditioned%3:00:00::
het_1526_13	loam%1:27:00::	loaf_of_bread%1:13:00::
het_1527_16	haltingly%4:02:00::	stop%2:38:00::
het_1528_15	caffe_latte%1:13:00::	lathe%1:06:00::
het_1530_5	son%1:18:00::	sow%2:32:00::
het_1531_19	prism%1:06:00::	prim%2:30:01::
het_1538_14	radiantly%4:02:00::	beaming%5:00:00:bright:00
het_1542_14	rarely%4:02:00::	rare%5:00:00:raw:00
het_1544_9	behave%2:41:01::	leave_office%2:41:00::
het_1545_6	bazaar%1:04:00::	buzzard%1:05:01::
het_1546_37	moor%2:35:03::	doorway%1:06:00::
het_1547_7	fourth%1:24:00::	motor_hotel%1:06:00::
het_1549_16	adoringly%4:02:00::	consequently%4:02:00::
het_1553_10	perch%2:35:00::	leech%1:18:00::
het_1554_8	visionary%1:18:00::	missionary%1:18:01::
het_1556_7	sheep%1:18:00::	sleep%1:28:00::
het_1557_22	waffle%1:13:00::	raffle%2:40:00::
het_1558_26	ore%1:23:00::	roe%1:05:01::
het_1560_9	insinuate%2:38:00::	suggest%2:32:02::
het_1561_7	shear%2:30:02::	sheer%4:02:01::
het_1563_11	understand%2:31:03::	transmute%2:30:01::
het_1566_9	grate%2:35:00::	price%1:10:00::
het_1569_14	dye%1:27:00::	serve%2:42:00::
het_1575_11	gravely%4:02:00::	perplex%2:31:00::
het_1576_6	exorcise%2:35:00::	extrinsic%3:00:00::
het_1578_6	wholeheartedly%4:02:00::	gloomy%5:00:00:dejected:00
het_1579_15	male%5:00:02:masculine:01	mole%1:07:00::
het_1580_7	franc%1:23:00::	postmark%2:35:00::
het_1581_3	union%1:14:03::	substitute%2:40:01::
het_1582_15	elementary%5:00:00:basic:00	alimentary%5:00:00:wholesome:00
het_1583_12	spectacle%1:04:00::	spectacles%1:06:00::
het_1587_9	mourning%1:26:00::	pun%2:36:00::
het_1588_12	tenderly%4:02:00::	aged%5:00:01:old:02
het_1589_9	wage%1:21:00::	wake%1:04:00::
het_1590_15	queerly%4:02:01::	odd%5:00:00:mismatched:00
het_1594_21	smoothly%4:02:00::	wittingly%4:02:00::
het_1597_29	lessor%1:18:00::	less%3:00:00::
het_1598_7	neck%1:06:00::	pack_of_cards%1:14:00::
het_1599_20	western_hemisphere%1:15:00::	accident%1:11:00::
het_1600_16	caw%2:32:00::	cam%1:06:00::
het_1602_14	weight_unit%1:23:00::	eight-spot%1:06:00::
het_1604_19	pipal%1:20:00::	papal%3:01:00::
het_1605_9	winsomely%4:02:00::	lease%2:40:00::
het_1606_17	fuchsia%1:20:00::	urchin%1:18:00::
het_1608_6	whine%2:39:00::	woodwaxen%1:20:00::
het_1610_10	kilt%1:06:00::	jilt%1:18:00::
het_1611_10	stray%2:38:00::	ear%1:20:00::
het_1612_15	hull%1:15:00::	taurus%1:18:00::
het_1613_8	spade%2:35:00::	tad%1:23:00::
het_1616_15	wine%1:07:00::	pine%1:20:00::
het_1617_9	czechoslovakian%1:18:00::	leech%1:18:00::
het_1622_12	packet%1:06:00::	scoop%1:25:00::
het_1624_8	symbol%1:10:00::	small%4:02:00::
